pai_et_municipios,promedio,comparacion_psyc,desviacion,comparacion_dsyc,desempeno_1,desempeno_2,desempeno_3,desempeno_4,aprendizaje_1,aprendizaje_2,aprendizaje_3,aprendizaje_4,aprendizaje_5,aprendizaje_6,Competencia
GC 2 DE BARRANQUILLA,46,Mayor,11,Similar,37%,42%,20%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE BARRANQUILLA,55,Menor,12,Similar,13%,36%,41%,9%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE BARRANQUILLA,67,Menor,10,Mayor,2%,8%,57%,34%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
BELLO,51,,11,,21%,42%,33%,4%,36%,52%,54%,60%,53%,52%,Sociales y Ciudadanas
OFICIALES URBANOS DE BELLO,50,Similar,11,Similar,21%,45%,31%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE BELLO,49,Similar,12,Similar,34%,32%,32%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE BELLO,53,Similar,12,Similar,19%,36%,38%,6%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE BELLO,48,Similar,11,Similar,29%,45%,24%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE BELLO,54,Similar,11,Similar,12%,40%,42%,6%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
BOGOTA,53,,11,,16%,43%,36%,5%,33%,49%,52%,61%,51%,50%,Sociales y Ciudadanas
OFICIALES URBANOS DE BOGOTA,50,Similar,10,Similar,20%,49%,29%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE BOGOTA,46,Mayor,9,Mayor,30%,54%,14%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE BOGOTA,57,Menor,11,Similar,9%,34%,47%,10%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE BOGOTA,47,Mayor,8,Mayor,30%,60%,10%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE BOGOTA,47,Mayor,10,Similar,28%,51%,21%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE BOGOTA,53,Similar,11,Similar,13%,43%,39%,5%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
BOLIVAR,43,,11,,51%,35%,12%,2%,52%,65%,64%,61%,64%,64%,Sociales y Ciudadanas
OFICIALES URBANOS DE BOLIVAR,43,Similar,11,Similar,48%,38%,13%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE BOLIVAR,39,Mayor,9,Mayor,64%,31%,5%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE BOLIVAR,56,Menor,13,Menor,14%,33%,39%,13%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE BOLIVAR,39,Mayor,8,Mayor,65%,30%,4%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE BOLIVAR,42,Similar,10,Similar,52%,36%,11%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE BOLIVAR,57,Menor,12,Similar,10%,33%,42%,15%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
BOYACA,50,,11,,22%,45%,29%,3%,37%,54%,56%,61%,55%,54%,Sociales y Ciudadanas
OFICIALES URBANOS DE BOYACA,50,Similar,11,Similar,21%,46%,30%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE BOYACA,47,Similar,10,Similar,30%,48%,22%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE BOYACA,59,Menor,11,Similar,6%,28%,50%,16%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE BOYACA,46,Mayor,10,Similar,34%,47%,19%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE BOYACA,49,Similar,11,Similar,24%,47%,27%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE BOYACA,57,Menor,11,Similar,8%,34%,47%,11%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE BOYACA,66,Menor,10,Similar,0%,15%,56%,29%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
BUCARAMANGA,55,,12,,13%,36%,40%,10%,29%,44%,48%,52%,48%,44%,Sociales y Ciudadanas
OFICIALES URBANOS DE BUCARAMANGA,54,Similar,11,Similar,15%,41%,37%,7%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE BUCARAMANGA,45,Mayor,11,Similar,34%,44%,21%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE BUCARAMANGA,60,Menor,12,Similar,8%,24%,47%,20%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE BUCARAMANGA,49,Mayor,11,Similar,23%,48%,27%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE BUCARAMANGA,58,Similar,12,Similar,9%,31%,47%,13%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE BUCARAMANGA,69,Menor,10,Mayor,1%,7%,43%,48%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
BUENAVENTURA,43,,11,,49%,37%,13%,1%,51%,65%,64%,64%,64%,61%,Sociales y Ciudadanas
OFICIALES URBANOS DE BUENAVENTURA,42,Similar,10,Similar,51%,37%,11%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE BUENAVENTURA,39,Mayor,9,Mayor,66%,30%,4%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE BUENAVENTURA,48,Menor,12,Similar,30%,42%,24%,4%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE BUENAVENTURA,36,Mayor,6,Mayor,80%,19%,1%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE BUENAVENTURA,41,Similar,10,Similar,54%,37%,9%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE BUENAVENTURA,51,Menor,11,Similar,19%,45%,31%,5%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
BUGA,51,,11,,20%,45%,31%,5%,33%,52%,54%,53%,54%,52%,Sociales y Ciudadanas
OFICIALES URBANOS DE BUGA,52,Similar,11,Similar,18%,44%,33%,5%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE BUGA,47,Mayor,9,Mayor,26%,57%,15%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE BUGA,49,Similar,11,Similar,29%,42%,21%,8%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE BUGA,45,Mayor,8,Mayor,29%,59%,12%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE BUGA,51,Similar,11,Similar,20%,47%,29%,4%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE BUGA,54,Similar,11,Similar,18%,33%,42%,8%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
CALDAS,48,,11,,28%,47%,23%,2%,42%,58%,60%,63%,59%,58%,Sociales y Ciudadanas
OFICIALES URBANOS DE CALDAS,49,Similar,11,Similar,26%,47%,25%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE CALDAS,46,Similar,10,Similar,34%,50%,16%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE CALDAS,55,Menor,12,Similar,12%,39%,40%,9%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE CALDAS,45,Similar,9,Mayor,37%,50%,12%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE CALDAS,47,Similar,11,Similar,29%,48%,22%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE CALDAS,53,Menor,12,Similar,15%,40%,38%,7%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
CALI,48,,11,,28%,43%,27%,2%,52%,43%,58%,57%,45%,58%,Sociales y Ciudadanas
OFICIALES URBANOS DE CALI,48,Similar,11,Similar,28%,43%,26%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE CALI,47,Similar,11,Similar,28%,48%,23%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE CALI,49,Similar,11,Similar,26%,42%,29%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE CALI,50,Similar,0,Mayor,0%,100%,0%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE CALI,46,Similar,11,Similar,35%,44%,19%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE CALI,51,Similar,11,Similar,20%,42%,35%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
CAQUETA,46,,10,,35%,47%,17%,1%,44%,62%,62%,60%,61%,61%,Sociales y Ciudadanas
OFICIALES URBANOS DE CAQUETA,46,Similar,10,Similar,31%,48%,19%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE CAQUETA,43,Similar,9,Similar,46%,44%,10%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE CAQUETA,50,Menor,9,Similar,11%,78%,0%,11%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE CAQUETA,42,Mayor,9,Similar,48%,44%,8%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE CAQUETA,46,Similar,10,Similar,33%,48%,18%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
CARTAGENA,47,,12,,36%,37%,23%,4%,42%,57%,58%,61%,59%,57%,Sociales y Ciudadanas
OFICIALES URBANOS DE CARTAGENA,45,Similar,11,Similar,40%,40%,18%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE CARTAGENA,41,Mayor,10,Mayor,58%,32%,10%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE CARTAGENA,54,Menor,13,Similar,19%,32%,38%,10%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE CARTAGENA,41,Mayor,10,Mayor,52%,37%,11%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE CARTAGENA,44,Similar,11,Similar,44%,39%,15%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE CARTAGENA,55,Menor,12,Similar,15%,34%,42%,10%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE CARTAGENA,64,Menor,10,Mayor,1%,16%,58%,25%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
CARTAGO,50,,12,,23%,46%,27%,4%,37%,54%,56%,64%,57%,52%,Sociales y Ciudadanas
OFICIALES URBANOS DE CARTAGO,50,Similar,12,Similar,23%,46%,27%,4%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE CARTAGO,47,Similar,11,Similar,29%,49%,22%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE CARTAGO,52,Similar,11,Similar,21%,49%,25%,6%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE CARTAGO,47,Similar,11,Similar,29%,48%,21%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE CARTAGO,53,Similar,12,Similar,17%,44%,33%,6%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
CASANARE,49,,11,,26%,46%,25%,3%,40%,57%,58%,61%,57%,56%,Sociales y Ciudadanas
OFICIALES URBANOS DE CASANARE,49,Similar,11,Similar,24%,47%,27%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE CASANARE,46,Similar,11,Similar,35%,44%,18%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE CASANARE,49,Similar,13,Menor,31%,39%,24%,6%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE CASANARE,46,Similar,12,Similar,36%,45%,17%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE CASANARE,49,Similar,11,Similar,26%,47%,25%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE CASANARE,53,Menor,11,Similar,14%,43%,38%,5%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
CAUCA,43,,10,,46%,41%,12%,1%,49%,65%,66%,66%,61%,64%,Sociales y Ciudadanas
OFICIALES URBANOS DE CAUCA,45,Similar,11,Similar,40%,42%,16%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE CAUCA,42,Similar,9,Similar,52%,40%,8%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE CAUCA,47,Menor,12,Menor,38%,35%,23%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE CAUCA,40,Similar,8,Mayor,57%,38%,6%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE CAUCA,44,Similar,10,Similar,44%,42%,14%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE CAUCA,52,Menor,12,Menor,22%,36%,35%,7%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
CESAR,45,,11,,38%,45%,15%,1%,47%,62%,62%,63%,62%,61%,Sociales y Ciudadanas
OFICIALES URBANOS DE CESAR,46,Similar,11,Similar,35%,47%,17%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE CESAR,42,Similar,10,Similar,47%,42%,10%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE CESAR,50,Menor,13,Menor,28%,38%,28%,7%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE CESAR,42,Similar,10,Similar,50%,41%,8%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE CESAR,45,Similar,11,Similar,38%,45%,15%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE CESAR,54,Menor,12,Similar,16%,41%,33%,10%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
CHIA,55,,11,,12%,37%,44%,8%,29%,44%,49%,58%,48%,44%,Sociales y Ciudadanas
OFICIALES URBANOS DE CHIA,52,Similar,11,Similar,17%,39%,41%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE CHIA,53,Similar,11,Similar,15%,44%,35%,6%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE CHIA,58,Similar,11,Similar,7%,32%,49%,11%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE CHIA,54,Similar,11,Similar,16%,39%,39%,7%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE CHIA,54,Similar,11,Similar,13%,39%,42%,6%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE CHIA,63,Menor,11,Similar,3%,18%,59%,20%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
CHOCO,38,,9,,69%,25%,5%,1%,62%,72%,70%,69%,68%,70%,Sociales y Ciudadanas
OFICIALES URBANOS DE CHOCO,40,Similar,9,Similar,62%,31%,7%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE CHOCO,36,Similar,8,Similar,79%,18%,3%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
