pai_et_municipios,promedio,comparacion_ping,desviacion,comparacion_ding,desempeno_a_minus,desempeno_a1,desempeno_a2,desempeno_b1,desempeno_b_plus,Competencia
PRIVADOS DE BUENAVENTURA,51,Menor,13,Menor,47%,25%,16%,10%,2%,Inglés
GC 1 DE BUENAVENTURA,39,Mayor,6,Mayor,93%,6%,1%,0%,0%,Inglés
GC 2 DE BUENAVENTURA,44,Similar,9,Mayor,73%,20%,6%,2%,0%,Inglés
GC 3 DE BUENAVENTURA,55,Menor,13,Menor,30%,31%,22%,13%,4%,Inglés
BUGA,54,,11,,30%,37%,23%,9%,2%,Inglés
OFICIALES URBANOS DE BUGA,54,Similar,11,Similar,28%,37%,24%,9%,2%,Inglés
OFICIALES RURALES DE BUGA,48,Mayor,9,Mayor,48%,38%,11%,3%,0%,Inglés
PRIVADOS DE BUGA,54,Similar,11,Similar,28%,40%,19%,13%,0%,Inglés
GC 1 DE BUGA,48,Mayor,7,Mayor,47%,41%,12%,0%,0%,Inglés
GC 2 DE BUGA,53,Similar,11,Similar,30%,37%,23%,8%,2%,Inglés
GC 3 DE BUGA,56,Similar,11,Similar,23%,37%,25%,12%,3%,Inglés
CALDAS,49,,10,,48%,33%,13%,5%,1%,Inglés
OFICIALES URBANOS DE CALDAS,50,Similar,10,Similar,44%,35%,15%,6%,1%,Inglés
OFICIALES RURALES DE CALDAS,46,Similar,8,Mayor,59%,32%,8%,2%,0%,Inglés
PRIVADOS DE CALDAS,62,Menor,14,Menor,15%,22%,26%,27%,9%,Inglés
GC 1 DE CALDAS,44,Mayor,7,Mayor,69%,28%,3%,1%,0%,Inglés
GC 2 DE CALDAS,49,Similar,10,Similar,50%,34%,12%,4%,0%,Inglés
GC 3 DE CALDAS,57,Menor,13,Menor,23%,34%,22%,16%,4%,Inglés
CALI,51,,12,,43%,30%,18%,8%,1%,Inglés
OFICIALES URBANOS DE CALI,50,Similar,12,Similar,43%,30%,18%,8%,1%,Inglés
OFICIALES RURALES DE CALI,48,Similar,11,Similar,52%,27%,16%,5%,0%,Inglés
PRIVADOS DE CALI,51,Similar,12,Similar,42%,30%,18%,9%,1%,Inglés
GC 1 DE CALI,52,Similar,0,Mayor,0%,100%,0%,0%,0%,Inglés
GC 2 DE CALI,47,Mayor,11,Similar,54%,29%,13%,4%,1%,Inglés
GC 3 DE CALI,54,Similar,12,Similar,32%,31%,23%,12%,2%,Inglés
CAQUETA,46,,9,,61%,30%,8%,2%,0%,Inglés
OFICIALES URBANOS DE CAQUETA,47,Similar,9,Similar,57%,32%,10%,2%,0%,Inglés
OFICIALES RURALES DE CAQUETA,43,Similar,7,Mayor,75%,23%,1%,1%,0%,Inglés
PRIVADOS DE CAQUETA,52,Menor,7,Mayor,33%,44%,22%,0%,0%,Inglés
GC 1 DE CAQUETA,42,Mayor,7,Mayor,77%,21%,1%,0%,0%,Inglés
GC 2 DE CAQUETA,46,Similar,9,Similar,59%,31%,8%,2%,0%,Inglés
CARTAGENA,51,,12,,46%,29%,14%,9%,3%,Inglés
OFICIALES URBANOS DE CARTAGENA,48,Similar,10,Mayor,53%,31%,11%,4%,1%,Inglés
OFICIALES RURALES DE CARTAGENA,43,Mayor,9,Mayor,71%,24%,4%,1%,0%,Inglés
PRIVADOS DE CARTAGENA,58,Menor,14,Menor,24%,27%,21%,19%,8%,Inglés
GC 1 DE CARTAGENA,44,Mayor,9,Mayor,65%,28%,7%,0%,0%,Inglés
GC 2 DE CARTAGENA,47,Mayor,10,Mayor,57%,30%,10%,4%,0%,Inglés
GC 3 DE CARTAGENA,59,Menor,13,Similar,20%,29%,23%,20%,7%,Inglés
GC 4 DE CARTAGENA,78,Menor,11,Similar,2%,1%,8%,45%,44%,Inglés
CARTAGO,53,,12,,37%,33%,18%,10%,2%,Inglés
OFICIALES URBANOS DE CARTAGO,52,Similar,12,Similar,38%,33%,18%,10%,2%,Inglés
OFICIALES RURALES DE CARTAGO,50,Similar,12,Similar,53%,18%,16%,12%,2%,Inglés
PRIVADOS DE CARTAGO,58,Menor,13,Similar,19%,34%,25%,18%,5%,Inglés
GC 2 DE CARTAGO,49,Mayor,10,Mayor,52%,30%,12%,5%,1%,Inglés
GC 3 DE CARTAGO,57,Menor,12,Similar,21%,35%,25%,16%,3%,Inglés
CASANARE,49,,10,,46%,35%,13%,5%,1%,Inglés
OFICIALES URBANOS DE CASANARE,50,Similar,10,Similar,44%,37%,13%,4%,1%,Inglés
OFICIALES RURALES DE CASANARE,48,Similar,10,Similar,55%,30%,10%,4%,1%,Inglés
PRIVADOS DE CASANARE,52,Similar,16,Menor,51%,10%,16%,19%,4%,Inglés
GC 1 DE CASANARE,47,Similar,10,Similar,58%,28%,9%,5%,0%,Inglés
GC 2 DE CASANARE,49,Similar,10,Similar,46%,37%,13%,4%,1%,Inglés
GC 3 DE CASANARE,54,Menor,12,Menor,32%,32%,22%,13%,3%,Inglés
CAUCA,45,,9,,67%,25%,6%,2%,0%,Inglés
OFICIALES URBANOS DE CAUCA,46,Similar,10,Similar,59%,28%,9%,3%,0%,Inglés
OFICIALES RURALES DE CAUCA,43,Similar,8,Similar,74%,22%,3%,1%,0%,Inglés
PRIVADOS DE CAUCA,48,Similar,12,Menor,54%,26%,12%,7%,2%,Inglés
GC 1 DE CAUCA,42,Similar,8,Similar,78%,19%,2%,1%,0%,Inglés
GC 2 DE CAUCA,45,Similar,9,Similar,64%,27%,7%,2%,0%,Inglés
GC 3 DE CAUCA,56,Menor,13,Menor,29%,28%,21%,18%,4%,Inglés
CESAR,47,,10,,58%,29%,10%,3%,0%,Inglés
OFICIALES URBANOS DE CESAR,47,Similar,9,Similar,55%,32%,10%,3%,0%,Inglés
OFICIALES RURALES DE CESAR,44,Similar,9,Similar,68%,24%,7%,1%,0%,Inglés
PRIVADOS DE CESAR,54,Menor,13,Menor,35%,28%,21%,13%,3%,Inglés
GC 1 DE CESAR,42,Mayor,8,Mayor,76%,20%,3%,0%,0%,Inglés
GC 2 DE CESAR,47,Similar,9,Similar,58%,30%,10%,2%,0%,Inglés
GC 3 DE CESAR,57,Menor,13,Menor,22%,31%,26%,16%,4%,Inglés
CHIA,61,,14,,15%,26%,26%,22%,11%,Inglés
OFICIALES URBANOS DE CHIA,56,Mayor,11,Mayor,23%,37%,26%,12%,2%,Inglés
OFICIALES RURALES DE CHIA,56,Mayor,12,Mayor,25%,35%,24%,12%,4%,Inglés
PRIVADOS DE CHIA,68,Menor,13,Similar,6%,16%,26%,33%,19%,Inglés
GC 2 DE CHIA,56,Mayor,12,Mayor,25%,34%,24%,12%,4%,Inglés
GC 3 DE CHIA,60,Similar,12,Mayor,17%,29%,27%,21%,6%,Inglés
GC 4 DE CHIA,77,Menor,13,Similar,1%,5%,18%,32%,44%,Inglés
CHOCO,41,,8,,82%,14%,3%,1%,0%,Inglés
OFICIALES URBANOS DE CHOCO,42,Similar,8,Similar,77%,18%,4%,1%,0%,Inglés
OFICIALES RURALES DE CHOCO,38,Similar,7,Similar,90%,9%,1%,0%,0%,Inglés
PRIVADOS DE CHOCO,53,Menor,13,Menor,35%,29%,24%,6%,6%,Inglés
GC 1 DE CHOCO,40,Similar,8,Similar,87%,11%,2%,0%,0%,Inglés
GC 2 DE CHOCO,41,Similar,8,Similar,81%,15%,3%,1%,0%,Inglés
CIENAGA,45,,10,,64%,25%,8%,3%,1%,Inglés
OFICIALES URBANOS DE CIENAGA,45,Similar,9,Similar,67%,25%,6%,2%,0%,Inglés
OFICIALES RURALES DE CIENAGA,41,Mayor,7,Mayor,83%,15%,2%,0%,0%,Inglés
PRIVADOS DE CIENAGA,51,Menor,13,Menor,41%,33%,16%,7%,3%,Inglés
GC 1 DE CIENAGA,39,Mayor,6,Mayor,91%,9%,0%,0%,0%,Inglés
GC 2 DE CIENAGA,44,Similar,9,Similar,68%,24%,6%,2%,0%,Inglés
GC 3 DE CIENAGA,56,Menor,11,Similar,21%,40%,24%,11%,5%,Inglés
CORDOBA,45,,10,,64%,26%,7%,3%,1%,Inglés
OFICIALES URBANOS DE CORDOBA,46,Similar,9,Similar,59%,30%,8%,2%,0%,Inglés
OFICIALES RURALES DE CORDOBA,43,Similar,8,Mayor,73%,22%,4%,1%,0%,Inglés
PRIVADOS DE CORDOBA,58,Menor,15,Menor,28%,22%,22%,20%,8%,Inglés
GC 1 DE CORDOBA,42,Similar,7,Mayor,76%,20%,3%,0%,0%,Inglés
GC 2 DE CORDOBA,46,Similar,9,Similar,61%,28%,8%,3%,0%,Inglés
GC 3 DE CORDOBA,64,Menor,12,Menor,8%,22%,31%,28%,12%,Inglés
CUCUTA,54,,12,,33%,34%,19%,11%,3%,Inglés
OFICIALES URBANOS DE CUCUTA,53,Similar,11,Similar,33%,37%,19%,10%,2%,Inglés
OFICIALES RURALES DE CUCUTA,46,Mayor,9,Mayor,57%,33%,8%,2%,0%,Inglés
PRIVADOS DE CUCUTA,57,Similar,14,Menor,29%,28%,20%,18%,6%,Inglés
GC 1 DE CUCUTA,34,Mayor,0,Mayor,100%,0%,0%,0%,0%,Inglés
GC 2 DE CUCUTA,51,Similar,10,Mayor,41%,37%,15%,6%,1%,Inglés
GC 3 DE CUCUTA,61,Menor,12,Similar,13%,29%,28%,24%,6%,Inglés
GC 4 DE CUCUTA,73,Menor,12,Similar,2%,5%,17%,49%,28%,Inglés
CUNDINAMARCA,53,,12,,36%,34%,17%,10%,3%,Inglés
OFICIALES URBANOS DE CUNDINAMARCA,50,Similar,10,Mayor,41%,38%,15%,5%,0%,Inglés
OFICIALES RURALES DE CUNDINAMARCA,49,Mayor,10,Mayor,45%,37%,13%,4%,1%,Inglés
PRIVADOS DE CUNDINAMARCA,64,Menor,13,Similar,11%,21%,26%,29%,13%,Inglés
GC 1 DE CUNDINAMARCA,45,Mayor,8,Mayor,66%,28%,5%,1%,0%,Inglés
GC 2 DE CUNDINAMARCA,49,Mayor,9,Mayor,47%,37%,12%,3%,0%,Inglés
GC 3 DE CUNDINAMARCA,57,Menor,12,Similar,22%,33%,25%,17%,4%,Inglés
GC 4 DE CUNDINAMARCA,78,Menor,9,Mayor,0%,1%,8%,52%,39%,Inglés
DOS QUEBRADAS,56,,11,,24%,37%,23%,14%,3%,Inglés
OFICIALES URBANOS DE DOS QUEBRADAS,55,Similar,11,Similar,25%,39%,23%,11%,2%,Inglés
OFICIALES RURALES DE DOS QUEBRADAS,48,Mayor,8,Mayor,42%,47%,8%,2%,0%,Inglés
PRIVADOS DE DOS QUEBRADAS,64,Menor,12,Similar,7%,23%,25%,37%,8%,Inglés
GC 2 DE DOS QUEBRADAS,51,Mayor,9,Mayor,36%,42%,17%,5%,0%,Inglés
GC 3 DE DOS QUEBRADAS,57,Similar,12,Similar,20%,35%,24%,16%,4%,Inglés
DUITAMA,57,,12,,23%,33%,24%,15%,4%,Inglés
OFICIALES URBANOS DE DUITAMA,55,Similar,10,Mayor,25%,38%,26%,9%,2%,Inglés
OFICIALES RURALES DE DUITAMA,51,Mayor,9,Mayor,42%,34%,17%,7%,1%,Inglés
PRIVADOS DE DUITAMA,63,Menor,13,Similar,12%,24%,24%,29%,10%,Inglés
GC 2 DE DUITAMA,51,Mayor,9,Mayor,38%,38%,19%,5%,1%,Inglés
GC 3 DE DUITAMA,61,Menor,12,Similar,11%,30%,29%,23%,7%,Inglés
ENVIGADO,64,,14,,12%,22%,24%,27%,15%,Inglés
OFICIALES URBANOS DE ENVIGADO,58,Mayor,12,Mayor,18%,32%,27%,19%,4%,Inglés
OFICIALES RURALES DE ENVIGADO,54,Mayor,13,Similar,31%,33%,21%,10%,5%,Inglés
PRIVADOS DE ENVIGADO,73,Menor,12,Mayor,2%,9%,21%,39%,29%,Inglés
GC 3 DE ENVIGADO,61,Similar,13,Similar,14%,26%,27%,25%,8%,Inglés
GC 4 DE ENVIGADO,79,Menor,11,Mayor,1%,3%,9%,39%,48%,Inglés
FACATATIVA,56,,11,,23%,36%,24%,14%,3%,Inglés
OFICIALES URBANOS DE FACATATIVA,53,Similar,10,Similar,28%,40%,24%,8%,0%,Inglés
OFICIALES RURALES DE FACATATIVA,53,Similar,9,Mayor,26%,43%,25%,6%,0%,Inglés
PRIVADOS DE FACATATIVA,62,Menor,13,Menor,13%,26%,26%,27%,9%,Inglés
GC 2 DE FACATATIVA,52,Mayor,9,Mayor,34%,42%,19%,5%,0%,Inglés
GC 3 DE FACATATIVA,60,Menor,12,Similar,12%,31%,30%,21%,5%,Inglés
GC 4 DE FACATATIVA,74,Menor,5,Mayor,0%,0%,8%,58%,33%,Inglés
FLORENCIA,53,,12,,39%,30%,17%,12%,2%,Inglés
OFICIALES URBANOS DE FLORENCIA,52,Similar,11,Similar,39%,34%,17%,8%,1%,Inglés
OFICIALES RURALES DE FLORENCIA,44,Mayor,7,Mayor,72%,25%,3%,1%,0%,Inglés
PRIVADOS DE FLORENCIA,61,Menor,15,Menor,23%,16%,24%,32%,5%,Inglés
GC 1 DE FLORENCIA,45,Mayor,7,Mayor,69%,26%,5%,0%,0%,Inglés
GC 2 DE FLORENCIA,50,Similar,10,Mayor,46%,34%,14%,6%,0%,Inglés
GC 3 DE FLORENCIA,60,Menor,12,Similar,18%,24%,27%,27%,4%,Inglés
GC 4 DE FLORENCIA,85,Menor,11,Similar,0%,0%,0%,25%,75%,Inglés
FLORIDABLANCA,59,,13,,17%,31%,26%,19%,7%,Inglés
OFICIALES URBANOS DE FLORIDABLANCA,56,Similar,11,Mayor,22%,38%,26%,12%,2%,Inglés
OFICIALES RURALES DE FLORIDABLANCA,50,Mayor,9,Mayor,44%,34%,18%,3%,0%,Inglés
PRIVADOS DE FLORIDABLANCA,68,Menor,12,Similar,5%,14%,26%,37%,18%,Inglés
GC 2 DE FLORIDABLANCA,53,Mayor,10,Mayor,28%,43%,22%,7%,1%,Inglés
GC 3 DE FLORIDABLANCA,61,Similar,13,Similar,14%,27%,28%,24%,8%,Inglés
GC 4 DE FLORIDABLANCA,75,Menor,9,Mayor,0%,2%,18%,43%,36%,Inglés
FUNZA,57,,11,,21%,32%,28%,16%,2%,Inglés
OFICIALES URBANOS DE FUNZA,52,Mayor,10,Similar,32%,41%,20%,6%,0%,Inglés
OFICIALES RURALES DE FUNZA,52,Mayor,11,Similar,35%,38%,20%,7%,0%,Inglés
PRIVADOS DE FUNZA,61,Menor,11,Similar,12%,26%,34%,24%,4%,Inglés
GC 3 DE FUNZA,57,Similar,11,Similar,21%,32%,28%,16%,2%,Inglés
FUSAGASUGA,55,,12,,29%,34%,22%,12%,3%,Inglés
OFICIALES URBANOS DE FUSAGASUGA,52,Similar,10,Mayor,34%,38%,19%,7%,1%,Inglés
OFICIALES RURALES DE FUSAGASUGA,51,Mayor,9,Mayor,36%,42%,18%,3%,1%,Inglés
PRIVADOS DE FUSAGASUGA,60,Menor,12,Similar,17%,23%,29%,25%,6%,Inglés
GC 2 DE FUSAGASUGA,52,Similar,10,Mayor,36%,38%,18%,7%,1%,Inglés
GC 3 DE FUSAGASUGA,59,Menor,12,Similar,19%,29%,28%,19%,4%,Inglés
GIRARDOT,53,,12,,35%,33%,19%,12%,2%,Inglés
OFICIALES URBANOS DE GIRARDOT,50,Similar,10,Mayor,44%,37%,14%,5%,0%,Inglés
OFICIALES RURALES DE GIRARDOT,44,Mayor,10,Mayor,74%,18%,5%,3%,0%,Inglés
PRIVADOS DE GIRARDOT,58,Menor,12,Similar,21%,30%,25%,20%,4%,Inglés
GC 2 DE GIRARDOT,48,Mayor,9,Mayor,54%,33%,10%,4%,0%,Inglés
GC 3 DE GIRARDOT,57,Menor,12,Similar,23%,33%,23%,17%,3%,Inglés
GIRON,54,,11,,32%,34%,22%,10%,2%,Inglés
OFICIALES URBANOS DE GIRON,53,Similar,11,Similar,33%,36%,21%,8%,2%,Inglés
OFICIALES RURALES DE GIRON,50,Mayor,10,Similar,49%,28%,16%,5%,1%,Inglés
PRIVADOS DE GIRON,62,Menor,11,Similar,10%,25%,31%,29%,5%,Inglés
GC 2 DE GIRON,51,Similar,11,Similar,39%,35%,17%,6%,2%,Inglés
GC 3 DE GIRON,58,Menor,11,Similar,20%,32%,29%,17%,3%,Inglés
GUAINIA,43,,9,,70%,23%,6%,1%,0%,Inglés
OFICIALES URBANOS DE GUAINIA,44,Similar,10,Similar,65%,26%,7%,1%,0%,Inglés
OFICIALES RURALES DE GUAINIA,41,Similar,7,Mayor,85%,14%,1%,0%,0%,Inglés
GC 1 DE GUAINIA,39,Mayor,7,Mayor,88%,10%,2%,0%,0%,Inglés
GC 2 DE GUAINIA,47,Menor,9,Similar,53%,35%,10%,2%,1%,Inglés
GUAVIARE,46,,9,,59%,30%,9%,2%,0%,Inglés
OFICIALES URBANOS DE GUAVIARE,48,Similar,9,Similar,51%,35%,11%,3%,0%,Inglés
OFICIALES RURALES DE GUAVIARE,43,Similar,7,Mayor,73%,23%,4%,0%,0%,Inglés
PRIVADOS DE GUAVIARE,48,Similar,12,Menor,59%,23%,13%,3%,2%,Inglés
GC 1 DE GUAVIARE,43,Similar,7,Mayor,72%,26%,2%,0%,0%,Inglés
GC 2 DE GUAVIARE,46,Similar,9,Similar,61%,30%,8%,2%,0%,Inglés
GC 3 DE GUAVIARE,53,Menor,11,Menor,32%,35%,23%,8%,2%,Inglés
HUILA,49,,10,,45%,37%,13%,4%,1%,Inglés
OFICIALES URBANOS DE HUILA,50,Similar,10,Similar,43%,38%,14%,4%,0%,Inglés
OFICIALES RURALES DE HUILA,47,Similar,8,Mayor,52%,37%,9%,2%,0%,Inglés
PRIVADOS DE HUILA,63,Menor,13,Menor,11%,27%,26%,28%,8%,Inglés
GC 1 DE HUILA,46,Similar,8,Mayor,58%,37%,5%,0%,0%,Inglés
GC 2 DE HUILA,49,Similar,9,Similar,47%,37%,12%,3%,0%,Inglés
GC 3 DE HUILA,55,Menor,11,Similar,26%,36%,22%,14%,2%,Inglés
GC 4 DE HUILA,82,Menor,10,Similar,0%,0%,0%,50%,50%,Inglés
IBAGUE,55,,12,,31%,32%,20%,13%,4%,Inglés
OFICIALES URBANOS DE IBAGUE,53,Similar,11,Similar,35%,36%,19%,9%,2%,Inglés
OFICIALES RURALES DE IBAGUE,47,Mayor,9,Mayor,58%,33%,7%,2%,0%,Inglés
PRIVADOS DE IBAGUE,64,Menor,13,Similar,11%,22%,26%,30%,12%,Inglés
GC 1 DE IBAGUE,45,Mayor,9,Mayor,70%,20%,10%,0%,0%,Inglés
GC 2 DE IBAGUE,50,Mayor,9,Mayor,44%,37%,14%,4%,0%,Inglés
