codigo_dane,pai_et_municipios,establecimientos_educativos,promedio,comparacion_plc,desviacion,comparacion_dlc,desempeno_1,desempeno_2,desempeno_3,desempeno_4,aprendizaje_1,aprendizaje_2,aprendizaje_3,Competencia
291263000018,PUERTO ARICA,ESC VILLA FATIMA,42,Similar,6,Similar,0%,80%,20%,0%,62%,68%,63%,Lectura Crítica
191540000255,PUERTO NARIÑO,I.E. COLEGIO TECNICO AGROPECUARIO JOSE CELESTINO MUTIS,46,Similar,8,Similar,6%,59%,34%,0%,48%,61%,61%,Lectura Crítica
191540000051,PUERTO NARIÑO,I.E. INTERNADO SAN FRANCISCO DE LORETOYACO,43,Similar,6,Similar,4%,83%,13%,0%,56%,68%,64%,Lectura Crítica
191065000016,PUERTO SANTANDER,I.E. INTERNADO FRAY JAVIER DE BARCELONA,45,Similar,5,Mayor,0%,88%,13%,0%,54%,68%,70%,Lectura Crítica
291798000122,TARAPACÁ,I.E. COLEGIO VILLA CARMEN,47,Similar,9,Similar,17%,33%,50%,0%,45%,65%,63%,Lectura Crítica
105001003298,MEDELLÍN,INST EDUC LORENZA VILLEGAS DE SANTOS,58,Similar,9,Similar,1%,19%,59%,20%,30%,39%,44%,Lectura Crítica
305001004854,MEDELLÍN,INSTITUCION EDUCATIVA ALVERNIA ,54,Similar,9,Similar,0%,36%,55%,9%,37%,45%,50%,Lectura Crítica
105001001368,MEDELLÍN,INST EDUC ALVARO MARIN VELASCO,48,Similar,9,Similar,7%,55%,39%,0%,44%,59%,62%,Lectura Crítica
105001006068,MEDELLÍN,INSTITUCION EDUCATIVA DINAMARCA,57,Similar,9,Similar,2%,21%,63%,15%,34%,43%,44%,Lectura Crítica
205001009797,MEDELLÍN,INST EDUC MANUEL J. BETANCUR,54,Similar,9,Similar,2%,35%,53%,10%,38%,47%,50%,Lectura Crítica
105001000981,MEDELLÍN,INSTITUCION EDUCATIVA GILBERTO ALZATE AVENDAÑO,54,Similar,10,Similar,2%,37%,49%,12%,39%,47%,51%,Lectura Crítica
305001010358,MEDELLÍN,COL ADVENTISTA SIMON BOLIVAR,58,Similar,8,Similar,0%,14%,65%,22%,32%,40%,40%,Lectura Crítica
105001011061,MEDELLÍN,INST EDUC JOSE ASUNCION SILVA,56,Similar,9,Similar,2%,21%,68%,10%,32%,43%,45%,Lectura Crítica
205001001672,MEDELLÍN,INST EDUC MONSEÑOR VICTOR WIEDEMANN,55,Similar,8,Similar,1%,32%,57%,10%,35%,45%,50%,Lectura Crítica
305001016542,MEDELLÍN,INSTITUCION EDUCATIVA EL TRIUNFO SANTA TERESA,56,Similar,8,Similar,2%,21%,63%,13%,36%,43%,46%,Lectura Crítica
105001000108,MEDELLÍN,INSTITUCION EDUCATIVA CENTRO FORMATIVO DE ANTIOQUIA -CEFA,59,Similar,9,Similar,1%,18%,59%,23%,29%,38%,42%,Lectura Crítica
305001005907,MEDELLÍN,COL EMILIA RIQUELME,61,Similar,7,Similar,0%,10%,62%,29%,20%,38%,36%,Lectura Crítica
305001007586,MEDELLÍN,COL CAMPESTRE LA COLINA,65,Menor,9,Similar,0%,7%,48%,45%,23%,29%,28%,Lectura Crítica
305001003955,MEDELLÍN,COMUNIDAD COLEGIO JESUS MARIA,68,Menor,8,Similar,0%,3%,34%,63%,19%,21%,24%,Lectura Crítica
1050010127,MEDELLÍN,INSTITUCION EDUCATIVA SAN PABLO,54,Similar,8,Similar,0%,31%,61%,8%,34%,48%,54%,Lectura Crítica
105001005291,MEDELLÍN,INST EDUC CAMPO VALDES,55,Similar,10,Similar,0%,37%,52%,11%,39%,44%,47%,Lectura Crítica
10500102578,MEDELLÍN,INST EDUC PBRO ANTONIO JOSE BERNAL LONDOÑO SJ,52,Similar,10,Similar,3%,40%,46%,11%,39%,51%,52%,Lectura Crítica
105001002526,MEDELLÍN,INSTITUCION EDUCATIVA SAMUEL BARRIENTOS ,53,Similar,10,Similar,5%,43%,40%,12%,37%,51%,52%,Lectura Crítica
105001000256,MEDELLÍN,INSTITUCION EDUCATIVA HECTOR ABAD GOMEZ,52,Similar,10,Similar,6%,37%,49%,7%,41%,51%,53%,Lectura Crítica
305001022631,MEDELLÍN,CORP ESC EMPRESARIAL DE EDUCACION,47,Similar,9,Similar,8%,52%,40%,0%,46%,59%,62%,Lectura Crítica
105001025844,MEDELLÍN,INST EDUC ANTONIO DERKA - SANTO DOMINGO,48,Similar,10,Similar,8%,54%,34%,4%,48%,57%,58%,Lectura Crítica
305001011516,MEDELLÍN,COLEGIO SANTA BERTILLA BOSCARDIN,62,Menor,7,Similar,0%,7%,53%,40%,27%,30%,35%,Lectura Crítica
105001000621,MEDELLÍN,INST EDUC ESCUELA NORMAL SUPERIOR DE MEDELLIN,56,Similar,9,Similar,2%,23%,61%,15%,33%,43%,44%,Lectura Crítica
305001011761,MEDELLÍN,INST FERRINI - SEDE ROBLEDO,58,Similar,10,Similar,2%,19%,58%,21%,32%,41%,43%,Lectura Crítica
305001005044,MEDELLÍN,INST FERRINI - SEDE CALASANZ,45,Mayor,0,Mayor,0%,100%,0%,0%,63%,60%,64%,Lectura Crítica
105001000353,MEDELLÍN,INST EDUC JUAN DE LA CRUZ POSADA,53,Similar,10,Similar,4%,31%,55%,11%,41%,50%,49%,Lectura Crítica
305001016861,MEDELLÍN,INSTITUCION EDUCATIVA PEDAGOGICO INTEGRAL,56,Similar,9,Similar,0%,33%,58%,8%,39%,45%,46%,Lectura Crítica
205001010264,MEDELLÍN,INSTITUCION EDUCATIVA PRESBITERO JUAN J. ESCOBAR,52,Similar,9,Similar,1%,44%,48%,7%,39%,50%,54%,Lectura Crítica
105001005347,MEDELLÍN,INSTITUCION EDUCATIVA TULIO OSPINA,59,Similar,8,Similar,0%,17%,64%,19%,27%,36%,44%,Lectura Crítica
105001001562,MEDELLÍN,INSTITUCION EDUCATIVA JAVIERA LONDOÑO,57,Similar,9,Similar,1%,23%,61%,16%,31%,43%,44%,Lectura Crítica
305001012857,MEDELLÍN,COLEGIO VID OBRA DE LA CONGREGACION MARIANA,59,Similar,8,Similar,0%,13%,63%,25%,29%,37%,40%,Lectura Crítica
305001007306,MEDELLÍN,COL SAN FRANCISCO JAVIER,63,Menor,8,Similar,0%,13%,50%,38%,25%,33%,29%,Lectura Crítica
305001003947,MEDELLÍN,CENT EDUCAL CONQUISTADORES,61,Similar,7,Similar,0%,7%,71%,21%,34%,30%,38%,Lectura Crítica
105001001651,MEDELLÍN,INST EDUC JOSE CELESTINO MUTIS,54,Similar,10,Similar,2%,36%,47%,15%,33%,49%,48%,Lectura Crítica
305001005257,MEDELLÍN,COL TERESIANO NSTRA SRA DE LA CANDELARIA,59,Similar,9,Similar,0%,20%,60%,20%,27%,37%,44%,Lectura Crítica
105001001023,MEDELLÍN,INST EDUC ANTONIO RICAURTE,52,Similar,10,Similar,6%,29%,58%,6%,40%,51%,52%,Lectura Crítica
305001015686,MEDELLÍN,INSTITUCION EDUCATIVA MAESTRO ARENAS BETANCUR,56,Similar,9,Similar,2%,26%,59%,13%,33%,44%,46%,Lectura Crítica
105001011886,MEDELLÍN,INSTITUCION EDUCATIVA AMERICA,50,Similar,10,Similar,10%,40%,44%,6%,43%,56%,55%,Lectura Crítica
30500102247,MEDELLÍN,COL LUJAN,49,Similar,12,Similar,29%,14%,43%,14%,35%,53%,60%,Lectura Crítica
105001008389,MEDELLÍN,INST EDUC LORETO-GABRIELA GOMEZ CARVAJAL,51,Similar,9,Similar,3%,43%,47%,6%,42%,53%,56%,Lectura Crítica
105001002119,MEDELLÍN,INSTITUCION EDUCATIVA MARCO FIDEL SUAREZ,54,Similar,12,Similar,5%,32%,48%,15%,38%,45%,48%,Lectura Crítica
305001009848,MEDELLÍN,INSTITUCION EDUCATIVA GUADALUPANO LA SALLE,58,Similar,8,Similar,0%,14%,68%,18%,33%,41%,40%,Lectura Crítica
305001005184,MEDELLÍN,SEM MENOR DE LA ARQUIDIOCESIS DE MEDELLIN,63,Menor,10,Similar,0%,15%,38%,46%,22%,37%,34%,Lectura Crítica
105001002496,MEDELLÍN,INST EDUC CRISTO REY,57,Similar,8,Similar,0%,21%,60%,19%,33%,43%,43%,Lectura Crítica
105001015211,MEDELLÍN,INST EDUC LA LIBERTAD,49,Similar,9,Similar,6%,52%,42%,0%,43%,59%,57%,Lectura Crítica
305001004986,MEDELLÍN,COL DE LA INMACULADA,63,Menor,8,Similar,0%,9%,51%,40%,26%,29%,33%,Lectura Crítica
105001001821,MEDELLÍN,INSTITUCION EDUCATIVA NUEVO HORIZONTE - PAULO VI,51,Similar,9,Similar,4%,46%,44%,6%,44%,55%,54%,Lectura Crítica
30500102264,MEDELLÍN,INSTITUCION EDUCATIVA EL BOSQUE,50,Similar,9,Similar,5%,49%,43%,3%,43%,59%,56%,Lectura Crítica
105001021636,MEDELLÍN,INSTITUCION EDUCATIVA KENNEDY,52,Similar,9,Similar,1%,46%,47%,6%,41%,51%,51%,Lectura Crítica
105001012092,MEDELLÍN,INSTITUCION EDUCATIVA BARRIO SANTANDER,54,Similar,9,Similar,3%,26%,63%,8%,35%,48%,49%,Lectura Crítica
305001003785,MEDELLÍN,COLEGIO MILITAR JOSE MARIA CORDOBA,56,Similar,9,Similar,3%,19%,62%,16%,32%,46%,45%,Lectura Crítica
305001004161,MEDELLÍN,COL DE LA PRESENTACION - MEDELLIN,63,Menor,6,Mayor,0%,7%,69%,24%,24%,33%,33%,Lectura Crítica
105001001155,MEDELLÍN,INST EDUC SAN JUAN BAUTISTA DE LA SALLE,52,Similar,9,Similar,2%,46%,45%,8%,39%,52%,55%,Lectura Crítica
105001020052,MEDELLÍN,INST EDUC RAFAEL GARCIA HERREROS,50,Similar,9,Similar,0%,53%,47%,0%,45%,55%,53%,Lectura Crítica
10500101169,MEDELLÍN,INSTITUCIÓN EDUCATIVA FEDERICO CARRASQUILLA,54,Similar,10,Similar,0%,43%,39%,18%,35%,46%,51%,Lectura Crítica
305001004501,MEDELLÍN,COL SAGRADOS CORAZONES,61,Similar,7,Similar,0%,10%,68%,23%,25%,35%,39%,Lectura Crítica
105001011631,MEDELLÍN,INST EDUC ASAMBLEA DEPARTAMENTAL,56,Similar,10,Similar,4%,24%,55%,17%,33%,43%,47%,Lectura Crítica
205001011031,MEDELLÍN,INST EDUC SANTA ELENA,57,Similar,9,Similar,0%,25%,55%,20%,33%,41%,43%,Lectura Crítica
305001021881,MEDELLÍN,COL MILIT GENERAL PEDRO NEL OSPINA,58,Similar,9,Similar,4%,14%,68%,14%,30%,40%,44%,Lectura Crítica
105001002348,MEDELLÍN,INST EDUC FE Y ALEGRIA SANTO DOMINGO SAVIO,54,Similar,8,Similar,0%,39%,53%,8%,34%,49%,52%,Lectura Crítica
305001003696,MEDELLÍN,LIC SAN RAFAEL,60,Similar,9,Similar,0%,13%,57%,30%,27%,35%,40%,Lectura Crítica
205001010281,MEDELLÍN,INST EDUC ALFONSO UPEGUI OROZCO,54,Similar,9,Similar,1%,36%,52%,11%,38%,46%,49%,Lectura Crítica
305001015716,MEDELLÍN,COL PARROQUIAL NTRA SE?ORA DEL BUEN CONSEJO,62,Menor,6,Mayor,0%,2%,55%,43%,24%,33%,31%,Lectura Crítica
305001018839,MEDELLÍN,INST EDUC MADRE LAURA,60,Similar,9,Similar,0%,14%,59%,27%,27%,38%,40%,Lectura Crítica
105001008249,MEDELLÍN,INST EDUC BELLO HORIZONTE,52,Similar,9,Similar,4%,41%,48%,7%,40%,50%,53%,Lectura Crítica
305001014264,MEDELLÍN,COLEGIO HISPANO,52,Similar,10,Similar,9%,9%,73%,9%,43%,50%,55%,Lectura Crítica
305001024164,MEDELLÍN,COL GENTE UNIDA JOVENES POR LA PAZ-SANTO DOMINGO,48,Similar,10,Similar,10%,48%,38%,3%,46%,56%,61%,Lectura Crítica
305001014256,MEDELLÍN,COL BAUTISTA DE CASTILLA,58,Similar,6,Mayor,0%,17%,75%,8%,31%,41%,43%,Lectura Crítica
105001010367,MEDELLÍN,INST EDUC SANTOS ANGELES CUSTODIOS,54,Similar,8,Similar,2%,27%,62%,9%,37%,48%,49%,Lectura Crítica
105001007218,MEDELLÍN,INST EDUC MARIA DE LOS ANGELES CANO MARQUEZ,53,Similar,8,Similar,1%,44%,49%,5%,38%,49%,52%,Lectura Crítica
305001003734,MEDELLÍN,INST SAN CARLOS,63,Menor,7,Similar,0%,4%,60%,36%,23%,31%,33%,Lectura Crítica
105001001805,MEDELLÍN,INST EDUC FE Y ALEGRIA POPULAR NRO. 1,49,Similar,9,Similar,4%,53%,42%,1%,46%,56%,56%,Lectura Crítica
30500101177,MEDELLÍN,INST VICARIAL JESUS MAESTRO,56,Similar,10,Similar,3%,19%,58%,19%,24%,44%,48%,Lectura Crítica
105001007188,MEDELLÍN,INSTITUCION EDUCATIVA BENEDIKTA ZUR NIEDEN,55,Similar,8,Similar,1%,28%,64%,7%,33%,47%,52%,Lectura Crítica
105001017876,MEDELLÍN,INST EDUC FRANCISCO LUIS HERNANDEZ BETANCUR,53,Similar,9,Similar,0%,38%,50%,12%,42%,47%,49%,Lectura Crítica
105001010928,MEDELLÍN,CENT EDUCAL DON BOSCO,60,Similar,9,Similar,0%,17%,50%,33%,26%,40%,38%,Lectura Crítica
305001005214,MEDELLÍN,COL MARIA AUXILIADORA,66,Menor,7,Similar,0%,0%,44%,56%,20%,26%,27%,Lectura Crítica
105001010111,MEDELLÍN,INST EDUC MAESTRO FERNANDO BOTERO,57,Similar,7,Similar,0%,21%,65%,14%,30%,43%,43%,Lectura Crítica
305001000093,MEDELLÍN,INSTITUCION EDUCATIVA PRADOS VERDES,62,Menor,8,Similar,0%,8%,54%,38%,25%,32%,36%,Lectura Crítica
105001021547,MEDELLÍN,INST EDUC VILLA FLORA,56,Similar,8,Similar,2%,22%,67%,10%,34%,46%,46%,Lectura Crítica
305001003513,MEDELLÍN,INST COLOMBO VENEZOLANO,63,Menor,8,Similar,0%,9%,42%,49%,23%,31%,34%,Lectura Crítica
10500100099,MEDELLÍN,INST EDUC GONZALO RESTREPO JARAMILLO,53,Similar,9,Similar,2%,36%,55%,7%,39%,49%,52%,Lectura Crítica
105001002461,MEDELLÍN,INST EDUC LUCRECIO JARAMILLO VELEZ,63,Menor,7,Similar,0%,6%,56%,38%,22%,33%,32%,Lectura Crítica
105001019011,MEDELLÍN,INSTITUCION EDUCATIVA STELLA VELEZ LONDOÑO,52,Similar,9,Similar,2%,38%,55%,5%,36%,52%,54%,Lectura Crítica
105001021199,MEDELLÍN,INST EDUC LA INDEPENDENCIA,51,Similar,8,Similar,3%,55%,40%,3%,46%,53%,55%,Lectura Crítica
305001004994,MEDELLÍN,COL SANTA TERESITA,59,Similar,9,Similar,0%,18%,59%,24%,27%,38%,47%,Lectura Crítica
305001005621,MEDELLÍN,COL BARBARA MICARELLI,64,Menor,8,Similar,0%,4%,57%,39%,22%,32%,29%,Lectura Crítica
10500100541,MEDELLÍN,INST EDUC JUAN DE DIOS CARVAJAL,55,Similar,9,Similar,0%,32%,58%,10%,33%,47%,49%,Lectura Crítica
105001000795,MEDELLÍN,INST EDUC ALFREDO COCK ARANGO,51,Similar,11,Similar,3%,39%,52%,6%,40%,52%,56%,Lectura Crítica
105001000396,MEDELLÍN,INST EDUC JOSE ACEVEDO Y GOMEZ,51,Similar,9,Similar,5%,45%,40%,9%,43%,51%,53%,Lectura Crítica
305001014248,MEDELLÍN,COL PARROQUIAL SAN JUDAS TADEO,58,Similar,8,Similar,0%,25%,63%,13%,31%,39%,46%,Lectura Crítica
305001017298,MEDELLÍN,COL ARENYS DEL MAR,55,Similar,8,Similar,0%,26%,70%,4%,34%,47%,50%,Lectura Crítica
105001001473,MEDELLÍN,INST EDUC MANUELA BELTRAN,52,Similar,12,Similar,9%,37%,40%,14%,42%,52%,52%,Lectura Crítica
205001018745,MEDELLÍN,INST EDUC EL LIMONAR,50,Similar,10,Similar,4%,51%,40%,4%,39%,55%,60%,Lectura Crítica
105001000418,MEDELLÍN,INST EDUC LA MILAGROSA,52,Similar,9,Similar,1%,45%,46%,7%,39%,51%,54%,Lectura Crítica
105001012165,MEDELLÍN,INSTITUCIÓN EDUCATIVA GUADALUPE,51,Similar,8,Similar,5%,35%,61%,0%,40%,51%,55%,Lectura Crítica
305001004943,MEDELLÍN,COL NUESTRA SENORA DEL ROSARIO DE CHIQUINQUIRA,63,Menor,8,Similar,0%,5%,57%,38%,23%,32%,31%,Lectura Crítica
105001006181,MEDELLÍN,INST EDUC PEDRO OCTAVIO AMADO,51,Similar,9,Similar,6%,41%,46%,7%,43%,51%,55%,Lectura Crítica
405001022288,MEDELLÍN,COLEGIO DE BACHILLERATO COLEGIATURA COLOMBIANA,58,Similar,11,Similar,5%,21%,53%,21%,33%,41%,39%,Lectura Crítica
105001008486,MEDELLÍN,INSTITUCION EDUCATIVA CAPILLA DEL ROSARIO,55,Similar,9,Similar,0%,30%,59%,11%,37%,44%,47%,Lectura Crítica
105001004472,MEDELLÍN,INSTITUCION EDUCATIVA LA PRESENTACION,59,Similar,9,Similar,0%,13%,64%,23%,30%,37%,41%,Lectura Crítica
105001001236,MEDELLÍN,INSTITUCION EDUCATIVA MONTECARLO GUILLERMO GAVIRIA CORREA,52,Similar,8,Similar,2%,42%,52%,4%,41%,50%,55%,Lectura Crítica
105001025763,MEDELLÍN,INST EDUC DEBORA ARANGO PEREZ,53,Similar,12,Similar,4%,44%,42%,10%,40%,50%,54%,Lectura Crítica
105001002356,MEDELLÍN,INST EDUC GABRIEL GARCIA MARQUEZ,49,Similar,9,Similar,5%,47%,44%,3%,46%,57%,58%,Lectura Crítica
305001013195,MEDELLÍN,COL MANZANARES,53,Similar,11,Similar,6%,29%,59%,6%,41%,49%,45%,Lectura Crítica
305001005567,MEDELLÍN,COL CORAZONISTA,70,Menor,6,Mayor,0%,1%,19%,81%,16%,17%,21%,Lectura Crítica
105001017132,MEDELLÍN,INST EDUC FE Y ALEGRIA SAN JOSE,53,Similar,10,Similar,1%,41%,46%,11%,39%,47%,53%,Lectura Crítica
105001007889,MEDELLÍN,INST EDUC JUVENIL NUEVO FUTURO,51,Similar,10,Similar,2%,48%,41%,9%,39%,53%,54%,Lectura Crítica
305001003963,MEDELLÍN,LIC SALAZAR Y HERRERA,59,Similar,9,Similar,1%,16%,58%,25%,28%,39%,40%,Lectura Crítica
30500101759,MEDELLÍN,COL PADRE MANYANET,64,Menor,7,Similar,0%,2%,53%,45%,19%,30%,31%,Lectura Crítica
305001004633,MEDELLÍN,INST JORGE ROBLEDO,67,Menor,7,Similar,0%,2%,41%,57%,18%,26%,26%,Lectura Crítica
305001004498,MEDELLÍN,COL SAN IGNACIO DE LOYOLA,68,Menor,8,Similar,0%,2%,34%,64%,19%,22%,23%,Lectura Crítica
105001013072,MEDELLÍN,INST EDUC MAESTRO PEDRO NEL GOMEZ,51,Similar,9,Similar,3%,41%,51%,5%,40%,56%,54%,Lectura Crítica
205001002199,MEDELLÍN,INSTITUCION EDUCATIVA PRESBITERO CARLOS ALBERTO CALDERON,49,Similar,10,Similar,5%,50%,38%,8%,42%,55%,58%,Lectura Crítica
105001003387,MEDELLÍN,INST EDUC SANTA ROSA DE LIMA,50,Similar,9,Similar,3%,47%,44%,6%,43%,53%,57%,Lectura Crítica
10500100698,MEDELLÍN,INSTITUCIÓN EDUCATIVA CONCEJO DE MEDELLIN,58,Similar,9,Similar,0%,17%,62%,20%,32%,39%,41%,Lectura Crítica
105001013145,MEDELLÍN,INST EDUC SANTA TERESA,62,Menor,9,Similar,0%,8%,70%,22%,27%,33%,37%,Lectura Crítica
105001000001,MEDELLÍN,INSTITUCION EDUCATIVA FE Y ALEGRIA JOSE MARIA VELAZ,54,Similar,10,Similar,0%,35%,46%,19%,35%,49%,46%,Lectura Crítica
105001007439,MEDELLÍN,INST EDUC PEDRO CLAVER AGUIRRE,52,Similar,9,Similar,5%,40%,45%,10%,37%,52%,52%,Lectura Crítica
205001019318,MEDELLÍN,INST EDUC SAN JOSE OBRERO,54,Similar,9,Similar,1%,34%,54%,11%,35%,48%,51%,Lectura Crítica
305001003599,MEDELLÍN,COLEGIO SAN JOSE DE LA SALLE,62,Menor,9,Similar,0%,10%,58%,32%,26%,33%,34%,Lectura Crítica
105001001635,MEDELLÍN,INST EDUC YERMO Y PARRES,59,Similar,9,Similar,1%,17%,57%,25%,29%,38%,42%,Lectura Crítica
105001001121,MEDELLÍN,INSTITUCION EDUCATIVA JOSE ROBERTO VASQUEZ BARRIO MANRIQUE,54,Similar,10,Similar,3%,38%,46%,13%,38%,48%,50%,Lectura Crítica
305001005125,MEDELLÍN,COL MADRE ANTONIA CERINI,58,Similar,8,Similar,0%,20%,60%,20%,25%,40%,52%,Lectura Crítica
105001019798,MEDELLÍN,INST EDUC ALFONSO LOPEZ,49,Similar,10,Similar,7%,53%,33%,7%,44%,55%,58%,Lectura Crítica
10500101642,MEDELLÍN,INST EDUC TRICENTENARIO,55,Similar,9,Similar,2%,25%,64%,8%,36%,47%,47%,Lectura Crítica
105001015148,MEDELLÍN,INST EDUC CAMILO MORA CARRASQUILLA,47,Similar,10,Similar,9%,65%,21%,5%,51%,60%,59%,Lectura Crítica
105001013439,MEDELLÍN,INST EDUC FELIX DE BEDOUT MORENO,53,Similar,11,Similar,2%,27%,67%,4%,40%,47%,50%,Lectura Crítica
105001000485,MEDELLÍN,INST EDUC LA SALLE DE CAMPOAMOR,59,Similar,9,Similar,0%,17%,63%,20%,29%,39%,41%,Lectura Crítica
305001006831,MEDELLÍN,INST MUSICAL DIEGO ECHAVARRIA,68,Menor,8,Similar,0%,0%,22%,78%,16%,22%,25%,Lectura Crítica
30500100515,MEDELLÍN,ESC NORMAL SUPERIOR ANTIOQUE?A,64,Menor,7,Similar,0%,9%,50%,41%,24%,31%,30%,Lectura Crítica
105001019925,MEDELLÍN,INSTITUCION EDUCATIVA ALCALDIA DE MEDELLIN,53,Similar,12,Similar,4%,38%,47%,11%,40%,48%,50%,Lectura Crítica
105001003221,MEDELLÍN,INST EDUC MANUEL JOSE CAYZEDO,59,Similar,10,Similar,0%,18%,55%,27%,29%,39%,42%,Lectura Crítica
105001012696,MEDELLÍN,INST EDUC ALFONSO LOPEZ PUMAREJO,53,Similar,9,Similar,3%,34%,58%,5%,40%,49%,53%,Lectura Crítica
305001019827,MEDELLÍN,COL PANAMERICANO COLOMBO SUECO,62,Menor,8,Similar,0%,6%,59%,35%,25%,32%,34%,Lectura Crítica
105001002135,MEDELLÍN,INST EDUC RAMON MUNERA LOPERA,51,Similar,10,Similar,5%,46%,38%,11%,44%,51%,54%,Lectura Crítica
105001010855,MEDELLÍN,INST EDUC  ANA DE CASTRILLON,51,Similar,8,Similar,0%,56%,38%,6%,43%,50%,58%,Lectura Crítica
105001014851,MEDELLÍN,INSTITUCION EDUCATIVA JESUS REY,58,Similar,9,Similar,0%,21%,60%,19%,27%,41%,44%,Lectura Crítica
105001003425,MEDELLÍN,INSTITUCION EDUCATIVA JOSE MARIA BRAVO MARQUEZ,55,Similar,8,Similar,1%,29%,60%,10%,35%,47%,47%,Lectura Crítica
105001001881,MEDELLÍN,INSTITUCION EDUCATIVA CARLOS VIECO ORTIZ,58,Similar,8,Similar,0%,19%,66%,15%,30%,41%,44%,Lectura Crítica
30500100482,MEDELLÍN,COL AGUSTINIANO DE SAN NICOLAS,57,Similar,9,Similar,1%,20%,59%,19%,31%,41%,44%,Lectura Crítica
105001002101,MEDELLÍN,INSTITUCION EDUCATIVA JUAN DE DIOS COCK,53,Similar,8,Similar,0%,38%,56%,6%,39%,50%,51%,Lectura Crítica
105001009695,MEDELLÍN,INST EDUC SAN JUAN BOSCO,57,Similar,9,Similar,0%,25%,59%,16%,32%,41%,45%,Lectura Crítica
305001024419,MEDELLÍN,COLEGIO ANTARES INTELIGENCIAS MÚLTIPLES,57,Similar,12,Similar,0%,32%,44%,24%,38%,40%,44%,Lectura Crítica
305001004293,MEDELLÍN,COLEGIO DE LA UNIVERSIDAD PONTIFICIA BOLIVARIANA,64,Menor,8,Similar,0%,5%,52%,42%,22%,30%,33%,Lectura Crítica
305001018022,MEDELLÍN,INST EDUC FE Y ALEGRIA LUIS AMIGO,50,Similar,9,Similar,4%,48%,45%,2%,43%,52%,59%,Lectura Crítica
105001001279,MEDELLÍN,INST EDUC CIRO MENDIA,54,Similar,9,Similar,1%,33%,59%,7%,35%,47%,50%,Lectura Crítica
305001003491,MEDELLÍN,COL CALASANZ CAMPESTRE ESCOLAPIAS,62,Menor,8,Similar,0%,9%,52%,39%,22%,35%,36%,Lectura Crítica
105001007111,MEDELLÍN,INST EDUC SEBASTIAN DE BELALCAZAR,52,Similar,10,Similar,8%,33%,50%,8%,39%,53%,51%,Lectura Crítica
305001004404,MEDELLÍN,COL EUCARISTICO DE LA MILAGROSA,58,Similar,9,Similar,0%,18%,55%,27%,30%,36%,42%,Lectura Crítica
