codigo_dane,pai_et_municipios,establecimientos_educativos,promedio,comparacion_psyc,desviacion,comparacion_dsyc,desempeno_1,desempeno_2,desempeno_3,desempeno_4,aprendizaje_1,aprendizaje_2,aprendizaje_3,aprendizaje_4,aprendizaje_5,aprendizaje_6,Competencia
1050010127,MEDELLÍN,INSTITUCION EDUCATIVA SAN PABLO,48,Similar,9,Similar,21%,52%,27%,0%,36%,60%,57%,58%,64%,53%,Sociales y Ciudadanas
105001005291,MEDELLÍN,INST EDUC CAMPO VALDES,49,Similar,10,Similar,22%,46%,31%,0%,38%,54%,60%,52%,59%,61%,Sociales y Ciudadanas
10500102578,MEDELLÍN,INST EDUC PBRO ANTONIO JOSE BERNAL LONDOÑO SJ,47,Similar,11,Similar,29%,50%,18%,3%,46%,62%,59%,73%,57%,56%,Sociales y Ciudadanas
105001002526,MEDELLÍN,INSTITUCION EDUCATIVA SAMUEL BARRIENTOS ,48,Similar,11,Similar,27%,47%,26%,0%,38%,57%,64%,64%,56%,62%,Sociales y Ciudadanas
105001000256,MEDELLÍN,INSTITUCION EDUCATIVA HECTOR ABAD GOMEZ,47,Similar,11,Similar,25%,52%,22%,1%,41%,54%,56%,66%,55%,54%,Sociales y Ciudadanas
305001022631,MEDELLÍN,CORP ESC EMPRESARIAL DE EDUCACION,42,Similar,11,Similar,44%,52%,4%,0%,52%,64%,67%,75%,66%,70%,Sociales y Ciudadanas
105001025844,MEDELLÍN,INST EDUC ANTONIO DERKA - SANTO DOMINGO,43,Similar,9,Similar,46%,41%,13%,0%,55%,65%,65%,70%,64%,60%,Sociales y Ciudadanas
305001011516,MEDELLÍN,COLEGIO SANTA BERTILLA BOSCARDIN,57,Menor,10,Similar,7%,37%,47%,10%,28%,43%,45%,45%,44%,50%,Sociales y Ciudadanas
105001000621,MEDELLÍN,INST EDUC ESCUELA NORMAL SUPERIOR DE MEDELLIN,52,Similar,10,Similar,16%,46%,36%,2%,32%,52%,55%,58%,54%,54%,Sociales y Ciudadanas
305001011761,MEDELLÍN,INST FERRINI - SEDE ROBLEDO,53,Similar,11,Similar,17%,42%,35%,5%,35%,48%,50%,65%,47%,55%,Sociales y Ciudadanas
305001005044,MEDELLÍN,INST FERRINI - SEDE CALASANZ,33,Mayor,0,Mayor,100%,0%,0%,0%,67%,75%,86%,0%,100%,N.D.,Sociales y Ciudadanas
105001000353,MEDELLÍN,INST EDUC JUAN DE LA CRUZ POSADA,49,Similar,12,Similar,25%,51%,18%,5%,37%,57%,59%,57%,57%,60%,Sociales y Ciudadanas
305001016861,MEDELLÍN,INSTITUCION EDUCATIVA PEDAGOGICO INTEGRAL,50,Similar,13,Similar,25%,25%,50%,0%,38%,49%,56%,43%,41%,45%,Sociales y Ciudadanas
205001010264,MEDELLÍN,INSTITUCION EDUCATIVA PRESBITERO JUAN J. ESCOBAR,47,Similar,10,Similar,28%,52%,20%,0%,43%,61%,59%,61%,57%,62%,Sociales y Ciudadanas
105001005347,MEDELLÍN,INSTITUCION EDUCATIVA TULIO OSPINA,53,Similar,10,Similar,11%,44%,42%,3%,27%,49%,49%,87%,55%,46%,Sociales y Ciudadanas
105001001562,MEDELLÍN,INSTITUCION EDUCATIVA JAVIERA LONDOÑO,53,Similar,10,Similar,10%,48%,38%,4%,34%,47%,53%,62%,54%,51%,Sociales y Ciudadanas
305001012857,MEDELLÍN,COLEGIO VID OBRA DE LA CONGREGACION MARIANA,56,Similar,11,Similar,9%,36%,50%,5%,28%,35%,48%,52%,42%,41%,Sociales y Ciudadanas
305001007306,MEDELLÍN,COL SAN FRANCISCO JAVIER,58,Menor,11,Similar,6%,31%,50%,13%,21%,33%,38%,38%,45%,28%,Sociales y Ciudadanas
305001003947,MEDELLÍN,CENT EDUCAL CONQUISTADORES,58,Menor,9,Similar,7%,29%,64%,0%,15%,47%,39%,57%,43%,39%,Sociales y Ciudadanas
105001001651,MEDELLÍN,INST EDUC JOSE CELESTINO MUTIS,49,Similar,10,Similar,19%,53%,25%,4%,37%,56%,58%,63%,56%,67%,Sociales y Ciudadanas
305001005257,MEDELLÍN,COL TERESIANO NSTRA SRA DE LA CANDELARIA,55,Similar,10,Similar,12%,36%,52%,0%,27%,46%,46%,36%,63%,27%,Sociales y Ciudadanas
105001001023,MEDELLÍN,INST EDUC ANTONIO RICAURTE,46,Similar,10,Similar,32%,54%,11%,3%,43%,62%,61%,77%,62%,64%,Sociales y Ciudadanas
305001015686,MEDELLÍN,INSTITUCION EDUCATIVA MAESTRO ARENAS BETANCUR,51,Similar,10,Similar,16%,52%,30%,2%,31%,53%,50%,70%,52%,57%,Sociales y Ciudadanas
105001011886,MEDELLÍN,INSTITUCION EDUCATIVA AMERICA,47,Similar,10,Similar,25%,54%,19%,2%,43%,63%,58%,69%,56%,60%,Sociales y Ciudadanas
30500102247,MEDELLÍN,COL LUJAN,46,Similar,9,Similar,29%,57%,14%,0%,58%,58%,61%,20%,44%,71%,Sociales y Ciudadanas
105001008389,MEDELLÍN,INST EDUC LORETO-GABRIELA GOMEZ CARVAJAL,45,Similar,9,Similar,32%,56%,12%,0%,41%,58%,65%,67%,57%,65%,Sociales y Ciudadanas
105001002119,MEDELLÍN,INSTITUCION EDUCATIVA MARCO FIDEL SUAREZ,49,Similar,12,Similar,26%,43%,26%,5%,35%,56%,55%,75%,64%,54%,Sociales y Ciudadanas
305001009848,MEDELLÍN,INSTITUCION EDUCATIVA GUADALUPANO LA SALLE,51,Similar,8,Mayor,4%,71%,25%,0%,36%,42%,57%,71%,48%,58%,Sociales y Ciudadanas
305001005184,MEDELLÍN,SEM MENOR DE LA ARQUIDIOCESIS DE MEDELLIN,62,Menor,8,Mayor,0%,15%,85%,0%,15%,26%,38%,75%,24%,31%,Sociales y Ciudadanas
105001002496,MEDELLÍN,INST EDUC CRISTO REY,54,Similar,10,Similar,12%,42%,44%,2%,23%,39%,52%,70%,44%,57%,Sociales y Ciudadanas
105001015211,MEDELLÍN,INST EDUC LA LIBERTAD,46,Similar,8,Mayor,29%,58%,13%,0%,46%,61%,62%,63%,61%,53%,Sociales y Ciudadanas
305001004986,MEDELLÍN,COL DE LA INMACULADA,59,Menor,8,Mayor,3%,26%,65%,6%,18%,35%,45%,59%,42%,34%,Sociales y Ciudadanas
105001001821,MEDELLÍN,INSTITUCION EDUCATIVA NUEVO HORIZONTE - PAULO VI,47,Similar,11,Similar,31%,52%,12%,6%,34%,62%,61%,54%,62%,62%,Sociales y Ciudadanas
30500102264,MEDELLÍN,INSTITUCION EDUCATIVA EL BOSQUE,43,Similar,8,Mayor,46%,46%,8%,0%,43%,61%,61%,36%,64%,67%,Sociales y Ciudadanas
105001021636,MEDELLÍN,INSTITUCION EDUCATIVA KENNEDY,46,Similar,10,Similar,26%,54%,19%,0%,46%,61%,62%,65%,62%,58%,Sociales y Ciudadanas
105001012092,MEDELLÍN,INSTITUCION EDUCATIVA BARRIO SANTANDER,50,Similar,10,Similar,18%,53%,29%,0%,39%,53%,55%,64%,56%,54%,Sociales y Ciudadanas
305001003785,MEDELLÍN,COLEGIO MILITAR JOSE MARIA CORDOBA,50,Similar,10,Similar,19%,49%,32%,0%,39%,55%,55%,62%,47%,43%,Sociales y Ciudadanas
305001004161,MEDELLÍN,COL DE LA PRESENTACION - MEDELLIN,58,Menor,10,Similar,7%,28%,55%,10%,27%,41%,44%,41%,47%,26%,Sociales y Ciudadanas
105001001155,MEDELLÍN,INST EDUC SAN JUAN BAUTISTA DE LA SALLE,47,Similar,10,Similar,30%,49%,22%,0%,44%,60%,57%,82%,62%,58%,Sociales y Ciudadanas
105001020052,MEDELLÍN,INST EDUC RAFAEL GARCIA HERREROS,47,Similar,8,Mayor,24%,62%,15%,0%,48%,59%,64%,79%,58%,62%,Sociales y Ciudadanas
10500101169,MEDELLÍN,INSTITUCIÓN EDUCATIVA FEDERICO CARRASQUILLA,51,Similar,10,Similar,13%,50%,38%,0%,35%,52%,56%,83%,53%,58%,Sociales y Ciudadanas
305001004501,MEDELLÍN,COL SAGRADOS CORAZONES,56,Similar,10,Similar,3%,52%,35%,10%,30%,37%,46%,50%,42%,31%,Sociales y Ciudadanas
105001011631,MEDELLÍN,INST EDUC ASAMBLEA DEPARTAMENTAL,52,Similar,11,Similar,16%,45%,36%,3%,31%,50%,52%,67%,52%,53%,Sociales y Ciudadanas
205001011031,MEDELLÍN,INST EDUC SANTA ELENA,58,Menor,10,Similar,4%,34%,52%,10%,28%,44%,49%,64%,40%,45%,Sociales y Ciudadanas
305001021881,MEDELLÍN,COL MILIT GENERAL PEDRO NEL OSPINA,52,Similar,11,Similar,21%,36%,43%,0%,33%,40%,54%,64%,51%,37%,Sociales y Ciudadanas
105001002348,MEDELLÍN,INST EDUC FE Y ALEGRIA SANTO DOMINGO SAVIO,46,Similar,10,Similar,35%,42%,23%,0%,43%,62%,59%,73%,59%,54%,Sociales y Ciudadanas
305001003696,MEDELLÍN,LIC SAN RAFAEL,54,Similar,10,Similar,10%,40%,47%,3%,26%,34%,47%,38%,41%,58%,Sociales y Ciudadanas
205001010281,MEDELLÍN,INST EDUC ALFONSO UPEGUI OROZCO,50,Similar,10,Similar,16%,48%,36%,0%,37%,53%,58%,62%,54%,45%,Sociales y Ciudadanas
305001015716,MEDELLÍN,COL PARROQUIAL NTRA SE?ORA DEL BUEN CONSEJO,58,Menor,8,Mayor,4%,28%,68%,0%,25%,38%,47%,68%,41%,39%,Sociales y Ciudadanas
305001018839,MEDELLÍN,INST EDUC MADRE LAURA,54,Similar,11,Similar,13%,41%,44%,3%,25%,43%,52%,51%,47%,45%,Sociales y Ciudadanas
105001008249,MEDELLÍN,INST EDUC BELLO HORIZONTE,46,Similar,11,Similar,34%,42%,24%,0%,45%,61%,61%,71%,61%,63%,Sociales y Ciudadanas
305001014264,MEDELLÍN,COLEGIO HISPANO,43,Similar,10,Similar,45%,45%,9%,0%,36%,71%,54%,67%,65%,60%,Sociales y Ciudadanas
305001024164,MEDELLÍN,COL GENTE UNIDA JOVENES POR LA PAZ-SANTO DOMINGO,43,Similar,9,Similar,43%,45%,12%,0%,51%,67%,66%,70%,70%,62%,Sociales y Ciudadanas
305001014256,MEDELLÍN,COL BAUTISTA DE CASTILLA,53,Similar,7,Mayor,8%,50%,42%,0%,36%,45%,61%,67%,50%,38%,Sociales y Ciudadanas
105001010367,MEDELLÍN,INST EDUC SANTOS ANGELES CUSTODIOS,50,Similar,9,Similar,20%,53%,27%,0%,32%,56%,52%,69%,57%,53%,Sociales y Ciudadanas
105001007218,MEDELLÍN,INST EDUC MARIA DE LOS ANGELES CANO MARQUEZ,49,Similar,10,Similar,20%,55%,24%,1%,39%,57%,59%,69%,58%,50%,Sociales y Ciudadanas
305001003734,MEDELLÍN,INST SAN CARLOS,58,Menor,11,Similar,6%,27%,54%,13%,26%,34%,42%,58%,37%,32%,Sociales y Ciudadanas
105001001805,MEDELLÍN,INST EDUC FE Y ALEGRIA POPULAR NRO. 1,44,Similar,10,Similar,41%,42%,18%,0%,48%,62%,66%,62%,63%,68%,Sociales y Ciudadanas
30500101177,MEDELLÍN,INST VICARIAL JESUS MAESTRO,50,Similar,11,Similar,16%,55%,26%,3%,38%,56%,54%,67%,53%,54%,Sociales y Ciudadanas
105001007188,MEDELLÍN,INSTITUCION EDUCATIVA BENEDIKTA ZUR NIEDEN,47,Similar,11,Similar,30%,48%,20%,2%,43%,58%,64%,61%,56%,53%,Sociales y Ciudadanas
105001017876,MEDELLÍN,INST EDUC FRANCISCO LUIS HERNANDEZ BETANCUR,48,Similar,11,Similar,21%,50%,26%,2%,40%,57%,61%,73%,47%,56%,Sociales y Ciudadanas
105001010928,MEDELLÍN,CENT EDUCAL DON BOSCO,55,Similar,12,Similar,13%,27%,53%,7%,26%,45%,42%,75%,40%,50%,Sociales y Ciudadanas
305001005214,MEDELLÍN,COL MARIA AUXILIADORA,61,Menor,10,Similar,3%,22%,59%,16%,22%,28%,41%,39%,46%,39%,Sociales y Ciudadanas
105001010111,MEDELLÍN,INST EDUC MAESTRO FERNANDO BOTERO,52,Similar,8,Mayor,11%,50%,39%,0%,29%,51%,57%,68%,51%,57%,Sociales y Ciudadanas
305001000093,MEDELLÍN,INSTITUCION EDUCATIVA PRADOS VERDES,58,Menor,11,Similar,8%,29%,42%,21%,20%,41%,39%,67%,33%,45%,Sociales y Ciudadanas
105001021547,MEDELLÍN,INST EDUC VILLA FLORA,50,Similar,11,Similar,18%,53%,27%,2%,37%,53%,53%,67%,54%,63%,Sociales y Ciudadanas
305001003513,MEDELLÍN,INST COLOMBO VENEZOLANO,60,Menor,11,Similar,4%,29%,51%,16%,25%,28%,37%,47%,37%,27%,Sociales y Ciudadanas
10500100099,MEDELLÍN,INST EDUC GONZALO RESTREPO JARAMILLO,48,Similar,9,Similar,25%,55%,20%,0%,40%,57%,57%,66%,59%,55%,Sociales y Ciudadanas
105001002461,MEDELLÍN,INST EDUC LUCRECIO JARAMILLO VELEZ,58,Menor,10,Similar,6%,34%,53%,7%,24%,37%,43%,52%,51%,36%,Sociales y Ciudadanas
105001019011,MEDELLÍN,INSTITUCION EDUCATIVA STELLA VELEZ LONDOÑO,48,Similar,9,Similar,20%,60%,18%,2%,38%,53%,57%,74%,70%,70%,Sociales y Ciudadanas
105001021199,MEDELLÍN,INST EDUC LA INDEPENDENCIA,44,Similar,8,Mayor,40%,51%,9%,0%,43%,65%,63%,76%,63%,67%,Sociales y Ciudadanas
305001004994,MEDELLÍN,COL SANTA TERESITA,52,Similar,9,Similar,12%,59%,29%,0%,37%,50%,63%,75%,50%,24%,Sociales y Ciudadanas
305001005621,MEDELLÍN,COL BARBARA MICARELLI,59,Menor,8,Mayor,0%,39%,52%,9%,22%,36%,54%,44%,40%,27%,Sociales y Ciudadanas
10500100541,MEDELLÍN,INST EDUC JUAN DE DIOS CARVAJAL,49,Similar,10,Similar,28%,46%,27%,0%,38%,58%,55%,72%,58%,55%,Sociales y Ciudadanas
105001000795,MEDELLÍN,INST EDUC ALFREDO COCK ARANGO,45,Similar,11,Similar,33%,49%,16%,1%,45%,62%,61%,81%,60%,74%,Sociales y Ciudadanas
105001000396,MEDELLÍN,INST EDUC JOSE ACEVEDO Y GOMEZ,46,Similar,10,Similar,36%,43%,21%,0%,45%,60%,59%,56%,58%,59%,Sociales y Ciudadanas
305001014248,MEDELLÍN,COL PARROQUIAL SAN JUDAS TADEO,52,Similar,9,Similar,8%,67%,21%,4%,32%,53%,52%,56%,52%,65%,Sociales y Ciudadanas
305001017298,MEDELLÍN,COL ARENYS DEL MAR,49,Similar,11,Similar,22%,52%,26%,0%,39%,60%,56%,73%,56%,46%,Sociales y Ciudadanas
105001001473,MEDELLÍN,INST EDUC MANUELA BELTRAN,47,Similar,13,Similar,35%,37%,21%,7%,50%,59%,60%,67%,58%,56%,Sociales y Ciudadanas
205001018745,MEDELLÍN,INST EDUC EL LIMONAR,45,Similar,11,Similar,36%,51%,9%,4%,43%,63%,62%,67%,59%,47%,Sociales y Ciudadanas
105001000418,MEDELLÍN,INST EDUC LA MILAGROSA,47,Similar,10,Similar,31%,51%,17%,1%,41%,61%,61%,71%,59%,56%,Sociales y Ciudadanas
105001012165,MEDELLÍN,INSTITUCIÓN EDUCATIVA GUADALUPE,47,Similar,8,Mayor,20%,68%,12%,0%,41%,62%,61%,58%,50%,63%,Sociales y Ciudadanas
305001004943,MEDELLÍN,COL NUESTRA SENORA DEL ROSARIO DE CHIQUINQUIRA,59,Menor,10,Similar,3%,31%,52%,14%,26%,39%,44%,45%,45%,27%,Sociales y Ciudadanas
105001006181,MEDELLÍN,INST EDUC PEDRO OCTAVIO AMADO,45,Similar,11,Similar,39%,41%,20%,0%,47%,58%,61%,59%,62%,61%,Sociales y Ciudadanas
405001022288,MEDELLÍN,COLEGIO DE BACHILLERATO COLEGIATURA COLOMBIANA,53,Similar,14,Similar,21%,32%,37%,11%,37%,46%,56%,50%,40%,47%,Sociales y Ciudadanas
105001008486,MEDELLÍN,INSTITUCION EDUCATIVA CAPILLA DEL ROSARIO,48,Similar,10,Similar,22%,52%,26%,0%,38%,63%,66%,60%,55%,38%,Sociales y Ciudadanas
105001004472,MEDELLÍN,INSTITUCION EDUCATIVA LA PRESENTACION,55,Similar,9,Similar,5%,43%,51%,2%,23%,47%,47%,38%,43%,50%,Sociales y Ciudadanas
105001001236,MEDELLÍN,INSTITUCION EDUCATIVA MONTECARLO GUILLERMO GAVIRIA CORREA,48,Similar,10,Similar,31%,46%,21%,1%,39%,62%,57%,62%,57%,65%,Sociales y Ciudadanas
105001025763,MEDELLÍN,INST EDUC DEBORA ARANGO PEREZ,46,Similar,11,Similar,40%,37%,21%,2%,35%,63%,61%,69%,64%,66%,Sociales y Ciudadanas
105001002356,MEDELLÍN,INST EDUC GABRIEL GARCIA MARQUEZ,45,Similar,9,Similar,34%,56%,8%,2%,46%,63%,66%,71%,63%,57%,Sociales y Ciudadanas
305001013195,MEDELLÍN,COL MANZANARES,48,Similar,10,Similar,24%,53%,24%,0%,44%,66%,64%,40%,59%,27%,Sociales y Ciudadanas
305001005567,MEDELLÍN,COL CORAZONISTA,67,Menor,9,Similar,0%,7%,60%,33%,13%,18%,26%,28%,22%,25%,Sociales y Ciudadanas
105001017132,MEDELLÍN,INST EDUC FE Y ALEGRIA SAN JOSE,49,Similar,11,Similar,26%,44%,26%,4%,42%,57%,53%,67%,57%,62%,Sociales y Ciudadanas
105001007889,MEDELLÍN,INST EDUC JUVENIL NUEVO FUTURO,47,Similar,11,Similar,39%,35%,24%,2%,42%,59%,61%,57%,62%,64%,Sociales y Ciudadanas
305001003963,MEDELLÍN,LIC SALAZAR Y HERRERA,55,Similar,11,Similar,13%,38%,43%,7%,33%,42%,50%,60%,46%,45%,Sociales y Ciudadanas
30500101759,MEDELLÍN,COL PADRE MANYANET,61,Menor,10,Similar,2%,23%,57%,18%,19%,30%,36%,47%,28%,34%,Sociales y Ciudadanas
305001004633,MEDELLÍN,INST JORGE ROBLEDO,63,Menor,8,Mayor,0%,11%,67%,22%,18%,25%,37%,48%,26%,39%,Sociales y Ciudadanas
305001004498,MEDELLÍN,COL SAN IGNACIO DE LOYOLA,67,Menor,10,Similar,1%,8%,56%,35%,16%,15%,30%,24%,26%,16%,Sociales y Ciudadanas
105001013072,MEDELLÍN,INST EDUC MAESTRO PEDRO NEL GOMEZ,47,Similar,10,Similar,30%,51%,18%,1%,45%,61%,58%,65%,57%,64%,Sociales y Ciudadanas
205001002199,MEDELLÍN,INSTITUCION EDUCATIVA PRESBITERO CARLOS ALBERTO CALDERON,45,Similar,11,Similar,38%,45%,14%,3%,55%,64%,62%,57%,61%,63%,Sociales y Ciudadanas
105001003387,MEDELLÍN,INST EDUC SANTA ROSA DE LIMA,45,Similar,10,Similar,37%,44%,17%,1%,46%,64%,65%,77%,66%,64%,Sociales y Ciudadanas
10500100698,MEDELLÍN,INSTITUCIÓN EDUCATIVA CONCEJO DE MEDELLIN,54,Similar,10,Similar,12%,41%,44%,3%,33%,45%,50%,70%,49%,39%,Sociales y Ciudadanas
105001013145,MEDELLÍN,INST EDUC SANTA TERESA,58,Menor,11,Similar,5%,33%,48%,13%,27%,37%,41%,51%,40%,40%,Sociales y Ciudadanas
105001000001,MEDELLÍN,INSTITUCION EDUCATIVA FE Y ALEGRIA JOSE MARIA VELAZ,52,Similar,11,Similar,19%,43%,30%,8%,39%,47%,53%,61%,56%,50%,Sociales y Ciudadanas
105001007439,MEDELLÍN,INST EDUC PEDRO CLAVER AGUIRRE,48,Similar,11,Similar,20%,58%,18%,5%,36%,59%,56%,74%,63%,56%,Sociales y Ciudadanas
205001019318,MEDELLÍN,INST EDUC SAN JOSE OBRERO,49,Similar,11,Similar,25%,44%,28%,3%,40%,55%,60%,60%,51%,50%,Sociales y Ciudadanas
305001003599,MEDELLÍN,COLEGIO SAN JOSE DE LA SALLE,58,Menor,10,Similar,6%,30%,59%,6%,26%,38%,52%,69%,39%,41%,Sociales y Ciudadanas
105001001635,MEDELLÍN,INST EDUC YERMO Y PARRES,54,Similar,11,Similar,15%,37%,41%,7%,28%,44%,50%,45%,45%,44%,Sociales y Ciudadanas
105001001121,MEDELLÍN,INSTITUCION EDUCATIVA JOSE ROBERTO VASQUEZ BARRIO MANRIQUE,47,Similar,11,Similar,33%,50%,14%,4%,44%,63%,65%,67%,52%,60%,Sociales y Ciudadanas
305001005125,MEDELLÍN,COL MADRE ANTONIA CERINI,52,Similar,9,Similar,10%,60%,30%,0%,30%,54%,53%,100%,37%,63%,Sociales y Ciudadanas
105001019798,MEDELLÍN,INST EDUC ALFONSO LOPEZ,44,Similar,11,Similar,47%,40%,13%,0%,49%,68%,64%,89%,70%,53%,Sociales y Ciudadanas
10500101642,MEDELLÍN,INST EDUC TRICENTENARIO,49,Similar,10,Similar,20%,53%,26%,1%,38%,56%,54%,66%,66%,54%,Sociales y Ciudadanas
