pai_et_municipios,promedio,comparacion_pmat,desviacion,comparacion_dmat,desempeno_1,desempeno_2,desempeno_3,desempeno_4,aprendizaje_1,aprendizaje_2,aprendizaje_3,Competencia
BARRANQUILLA,53,,12,,8%,32%,51%,8%,58%,37%,54%,Matemáticas
OFICIALES URBANOS DE BARRANQUILLA,52,Similar,12,Similar,9%,35%,50%,6%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE BARRANQUILLA,57,Menor,14,Menor,6%,25%,53%,16%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE BARRANQUILLA,42,Mayor,10,Mayor,32%,43%,25%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE BARRANQUILLA,49,Mayor,11,Similar,12%,42%,43%,3%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE BARRANQUILLA,58,Menor,12,Similar,4%,22%,60%,14%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE BARRANQUILLA,68,Menor,11,Similar,2%,3%,57%,38%,N.D.,N.D.,N.D.,Matemáticas
BELLO,53,,11,,8%,33%,54%,5%,60%,39%,57%,Matemáticas
OFICIALES URBANOS DE BELLO,52,Similar,11,Similar,7%,34%,55%,4%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE BELLO,51,Similar,11,Similar,6%,42%,49%,3%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE BELLO,53,Similar,13,Menor,9%,31%,52%,8%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE BELLO,49,Mayor,11,Similar,11%,42%,45%,2%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE BELLO,56,Similar,11,Similar,4%,25%,62%,8%,N.D.,N.D.,N.D.,Matemáticas
BOGOTA,55,,11,,4%,29%,58%,9%,57%,34%,53%,Matemáticas
OFICIALES URBANOS DE BOGOTA,53,Similar,10,Similar,5%,36%,55%,4%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE BOGOTA,49,Mayor,9,Mayor,8%,49%,42%,1%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE BOGOTA,60,Menor,11,Similar,3%,18%,63%,17%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE BOGOTA,48,Mayor,9,Mayor,10%,60%,30%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE BOGOTA,50,Mayor,10,Similar,8%,43%,46%,2%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE BOGOTA,56,Similar,11,Similar,3%,26%,61%,9%,N.D.,N.D.,N.D.,Matemáticas
BOLIVAR,45,,12,,21%,47%,29%,3%,68%,49%,66%,Matemáticas
OFICIALES URBANOS DE BOLIVAR,46,Similar,11,Similar,19%,47%,32%,2%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE BOLIVAR,42,Similar,10,Mayor,29%,52%,19%,0%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE BOLIVAR,58,Menor,13,Similar,6%,22%,54%,18%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE BOLIVAR,42,Similar,10,Mayor,31%,49%,20%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE BOLIVAR,45,Similar,11,Similar,21%,48%,28%,2%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE BOLIVAR,60,Menor,13,Similar,4%,19%,57%,20%,N.D.,N.D.,N.D.,Matemáticas
BOYACA,55,,11,,5%,31%,57%,8%,58%,34%,55%,Matemáticas
OFICIALES URBANOS DE BOYACA,55,Similar,11,Similar,4%,30%,59%,7%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE BOYACA,52,Similar,11,Similar,7%,39%,51%,3%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE BOYACA,63,Menor,11,Similar,1%,12%,61%,26%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE BOYACA,51,Mayor,10,Similar,7%,40%,50%,3%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE BOYACA,54,Similar,11,Similar,5%,33%,57%,6%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE BOYACA,61,Menor,11,Similar,1%,15%,64%,20%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE BOYACA,71,Menor,8,Mayor,0%,0%,47%,53%,N.D.,N.D.,N.D.,Matemáticas
BUCARAMANGA,60,,12,,3%,19%,59%,19%,49%,27%,44%,Matemáticas
OFICIALES URBANOS DE BUCARAMANGA,58,Similar,12,Similar,3%,22%,61%,14%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE BUCARAMANGA,52,Mayor,12,Similar,11%,30%,57%,2%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE BUCARAMANGA,64,Menor,13,Similar,2%,12%,53%,33%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE BUCARAMANGA,53,Mayor,11,Similar,5%,33%,57%,5%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE BUCARAMANGA,63,Similar,12,Similar,2%,12%,61%,25%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE BUCARAMANGA,73,Menor,13,Similar,1%,4%,31%,64%,N.D.,N.D.,N.D.,Matemáticas
BUENAVENTURA,45,,11,,23%,47%,28%,2%,69%,50%,67%,Matemáticas
OFICIALES URBANOS DE BUENAVENTURA,44,Similar,10,Similar,22%,50%,27%,1%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE BUENAVENTURA,39,Mayor,10,Similar,41%,45%,14%,0%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE BUENAVENTURA,49,Menor,12,Similar,15%,40%,40%,5%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE BUENAVENTURA,36,Mayor,8,Mayor,58%,35%,7%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE BUENAVENTURA,43,Similar,10,Similar,24%,52%,24%,1%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE BUENAVENTURA,52,Menor,12,Similar,10%,32%,53%,6%,N.D.,N.D.,N.D.,Matemáticas
BUGA,55,,11,,4%,30%,58%,8%,59%,34%,53%,Matemáticas
OFICIALES URBANOS DE BUGA,55,Similar,11,Similar,4%,28%,59%,8%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE BUGA,52,Similar,9,Mayor,3%,34%,61%,2%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE BUGA,52,Similar,11,Similar,6%,46%,44%,4%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE BUGA,50,Mayor,8,Mayor,6%,35%,59%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE BUGA,55,Similar,11,Similar,5%,30%,57%,7%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE BUGA,57,Similar,11,Similar,2%,25%,63%,9%,N.D.,N.D.,N.D.,Matemáticas
CALDAS,50,,11,,9%,41%,47%,4%,64%,41%,60%,Matemáticas
OFICIALES URBANOS DE CALDAS,51,Similar,11,Similar,8%,39%,50%,4%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE CALDAS,48,Similar,10,Similar,11%,46%,41%,1%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE CALDAS,57,Menor,12,Similar,4%,24%,55%,17%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE CALDAS,47,Similar,11,Similar,15%,47%,37%,1%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE CALDAS,50,Similar,11,Similar,9%,42%,46%,3%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE CALDAS,56,Menor,11,Similar,4%,25%,59%,11%,N.D.,N.D.,N.D.,Matemáticas
CALI,50,,11,,10%,39%,48%,3%,55%,61%,42%,Matemáticas
OFICIALES URBANOS DE CALI,50,Similar,11,Similar,10%,39%,48%,3%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE CALI,48,Similar,11,Similar,12%,43%,43%,2%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE CALI,51,Similar,12,Similar,11%,37%,49%,4%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE CALI,60,Menor,0,Mayor,0%,0%,100%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE CALI,48,Similar,11,Similar,14%,45%,40%,1%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE CALI,53,Similar,11,Similar,7%,33%,56%,4%,N.D.,N.D.,N.D.,Matemáticas
CAQUETA,49,,10,,9%,46%,42%,2%,65%,43%,64%,Matemáticas
OFICIALES URBANOS DE CAQUETA,50,Similar,10,Similar,8%,44%,45%,2%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE CAQUETA,47,Similar,10,Similar,12%,54%,33%,1%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE CAQUETA,52,Similar,8,Mayor,0%,56%,44%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE CAQUETA,47,Similar,9,Similar,10%,59%,31%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE CAQUETA,49,Similar,10,Similar,9%,45%,44%,2%,N.D.,N.D.,N.D.,Matemáticas
CARTAGENA,50,,13,,13%,39%,41%,6%,62%,42%,59%,Matemáticas
OFICIALES URBANOS DE CARTAGENA,48,Similar,11,Mayor,14%,44%,39%,3%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE CARTAGENA,42,Mayor,11,Mayor,30%,47%,23%,1%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE CARTAGENA,56,Menor,14,Similar,7%,27%,51%,15%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE CARTAGENA,41,Mayor,11,Mayor,24%,57%,20%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE CARTAGENA,47,Similar,11,Mayor,17%,45%,36%,3%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE CARTAGENA,57,Menor,13,Similar,6%,25%,56%,14%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE CARTAGENA,67,Menor,10,Mayor,0%,4%,55%,41%,N.D.,N.D.,N.D.,Matemáticas
CARTAGO,53,,12,,7%,36%,51%,6%,60%,38%,57%,Matemáticas
OFICIALES URBANOS DE CARTAGO,52,Similar,12,Similar,8%,35%,51%,6%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE CARTAGO,50,Similar,11,Similar,10%,49%,39%,2%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE CARTAGO,54,Similar,11,Similar,2%,34%,59%,5%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE CARTAGO,49,Mayor,10,Mayor,11%,46%,41%,2%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE CARTAGO,56,Similar,12,Similar,4%,24%,62%,10%,N.D.,N.D.,N.D.,Matemáticas
CASANARE,53,,12,,6%,33%,53%,7%,59%,36%,55%,Matemáticas
OFICIALES URBANOS DE CASANARE,54,Similar,11,Similar,5%,32%,56%,7%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE CASANARE,51,Similar,13,Similar,11%,40%,42%,7%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE CASANARE,52,Similar,15,Menor,17%,23%,50%,10%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE CASANARE,50,Similar,14,Menor,14%,40%,37%,8%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE CASANARE,54,Similar,11,Similar,5%,33%,55%,7%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE CASANARE,57,Menor,10,Mayor,2%,25%,63%,11%,N.D.,N.D.,N.D.,Matemáticas
CAUCA,46,,11,,18%,48%,32%,2%,68%,48%,65%,Matemáticas
OFICIALES URBANOS DE CAUCA,48,Similar,12,Similar,15%,43%,39%,3%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE CAUCA,44,Similar,10,Similar,21%,52%,26%,1%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE CAUCA,49,Similar,13,Menor,15%,41%,39%,5%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE CAUCA,43,Similar,10,Similar,23%,53%,23%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE CAUCA,47,Similar,11,Similar,17%,47%,34%,2%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE CAUCA,56,Menor,13,Menor,6%,28%,53%,13%,N.D.,N.D.,N.D.,Matemáticas
CESAR,48,,12,,14%,44%,39%,3%,65%,44%,63%,Matemáticas
OFICIALES URBANOS DE CESAR,49,Similar,11,Similar,12%,42%,42%,3%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE CESAR,45,Similar,11,Similar,20%,50%,29%,1%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE CESAR,53,Menor,14,Menor,10%,35%,45%,10%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE CESAR,45,Similar,10,Mayor,20%,52%,27%,1%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE CESAR,48,Similar,11,Similar,14%,44%,39%,3%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE CESAR,56,Menor,13,Similar,5%,32%,48%,15%,N.D.,N.D.,N.D.,Matemáticas
CHIA,58,,11,,3%,21%,63%,13%,52%,30%,49%,Matemáticas
OFICIALES URBANOS DE CHIA,56,Similar,10,Similar,4%,26%,64%,6%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE CHIA,55,Similar,10,Similar,4%,29%,60%,7%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE CHIA,61,Similar,11,Similar,2%,13%,64%,21%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE CHIA,54,Mayor,11,Similar,4%,34%,52%,10%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE CHIA,57,Similar,11,Similar,3%,21%,66%,10%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE CHIA,66,Menor,13,Menor,1%,10%,51%,39%,N.D.,N.D.,N.D.,Matemáticas
CHOCO,40,,11,,39%,45%,15%,1%,73%,58%,72%,Matemáticas
OFICIALES URBANOS DE CHOCO,42,Similar,11,Similar,28%,52%,19%,1%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE CHOCO,36,Mayor,10,Similar,55%,36%,9%,0%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE CHOCO,54,Menor,10,Similar,11%,17%,72%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE CHOCO,36,Mayor,11,Similar,54%,34%,12%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE CHOCO,40,Similar,11,Similar,36%,47%,16%,1%,N.D.,N.D.,N.D.,Matemáticas
CIENAGA,45,,11,,19%,49%,30%,2%,69%,50%,67%,Matemáticas
OFICIALES URBANOS DE CIENAGA,45,Similar,11,Similar,21%,50%,29%,1%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE CIENAGA,44,Similar,10,Similar,20%,55%,24%,1%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE CIENAGA,49,Menor,12,Similar,14%,41%,40%,4%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE CIENAGA,39,Mayor,9,Mayor,29%,60%,10%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE CIENAGA,45,Similar,11,Similar,21%,51%,28%,1%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE CIENAGA,53,Menor,12,Similar,8%,30%,56%,7%,N.D.,N.D.,N.D.,Matemáticas
CORDOBA,47,,12,,16%,46%,35%,3%,65%,45%,63%,Matemáticas
OFICIALES URBANOS DE CORDOBA,48,Similar,11,Similar,14%,45%,39%,3%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE CORDOBA,45,Similar,11,Similar,19%,50%,30%,1%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE CORDOBA,57,Menor,15,Menor,10%,23%,48%,19%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE CORDOBA,44,Similar,10,Mayor,20%,52%,27%,1%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE CORDOBA,48,Similar,11,Similar,15%,45%,38%,3%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE CORDOBA,63,Menor,11,Similar,1%,11%,62%,25%,N.D.,N.D.,N.D.,Matemáticas
CUCUTA,56,,12,,5%,26%,58%,11%,55%,31%,50%,Matemáticas
OFICIALES URBANOS DE CUCUTA,56,Similar,12,Similar,4%,26%,60%,11%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE CUCUTA,51,Mayor,12,Similar,10%,36%,49%,5%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE CUCUTA,56,Similar,13,Similar,7%,25%,54%,14%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE CUCUTA,60,Menor,0,Mayor,0%,0%,100%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE CUCUTA,54,Similar,12,Similar,6%,30%,56%,7%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE CUCUTA,61,Menor,11,Similar,2%,15%,62%,21%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE CUCUTA,71,Menor,10,Mayor,0%,3%,46%,51%,N.D.,N.D.,N.D.,Matemáticas
CUNDINAMARCA,55,,11,,5%,30%,57%,8%,58%,34%,54%,Matemáticas
OFICIALES URBANOS DE CUNDINAMARCA,53,Similar,11,Similar,5%,33%,57%,5%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE CUNDINAMARCA,53,Similar,11,Similar,6%,36%,53%,4%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE CUNDINAMARCA,61,Menor,11,Similar,2%,16%,64%,19%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE CUNDINAMARCA,49,Mayor,11,Similar,11%,43%,43%,4%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE CUNDINAMARCA,52,Similar,11,Similar,6%,36%,54%,4%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE CUNDINAMARCA,57,Similar,11,Similar,3%,23%,64%,10%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE CUNDINAMARCA,69,Menor,9,Mayor,0%,2%,51%,47%,N.D.,N.D.,N.D.,Matemáticas
DOS QUEBRADAS,55,,10,,3%,29%,61%,7%,59%,35%,53%,Matemáticas
OFICIALES URBANOS DE DOS QUEBRADAS,54,Similar,10,Similar,3%,31%,61%,4%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE DOS QUEBRADAS,52,Similar,8,Mayor,2%,37%,58%,3%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE DOS QUEBRADAS,62,Menor,12,Menor,2%,13%,63%,22%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE DOS QUEBRADAS,52,Similar,10,Similar,4%,38%,54%,3%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE DOS QUEBRADAS,56,Similar,10,Similar,3%,26%,63%,8%,N.D.,N.D.,N.D.,Matemáticas
DUITAMA,60,,11,,2%,18%,64%,17%,49%,28%,46%,Matemáticas
OFICIALES URBANOS DE DUITAMA,58,Similar,10,Similar,2%,19%,69%,10%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE DUITAMA,57,Similar,10,Similar,1%,27%,63%,10%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE DUITAMA,64,Menor,12,Similar,1%,12%,56%,31%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE DUITAMA,55,Mayor,10,Similar,3%,30%,61%,6%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE DUITAMA,63,Similar,11,Similar,1%,9%,66%,24%,N.D.,N.D.,N.D.,Matemáticas
ENVIGADO,58,,12,,4%,21%,61%,14%,52%,31%,47%,Matemáticas
OFICIALES URBANOS DE ENVIGADO,55,Similar,11,Similar,5%,28%,61%,7%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE ENVIGADO,51,Mayor,14,Menor,14%,40%,39%,8%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE ENVIGADO,63,Menor,11,Similar,1%,11%,64%,24%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE ENVIGADO,57,Similar,12,Similar,4%,24%,61%,11%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE ENVIGADO,65,Menor,11,Similar,1%,7%,61%,30%,N.D.,N.D.,N.D.,Matemáticas
FACATATIVA,58,,11,,2%,22%,64%,11%,54%,30%,48%,Matemáticas
OFICIALES URBANOS DE FACATATIVA,57,Similar,10,Similar,2%,20%,69%,8%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE FACATATIVA,55,Similar,10,Similar,4%,30%,60%,6%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE FACATATIVA,60,Similar,12,Similar,2%,21%,58%,19%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE FACATATIVA,55,Similar,10,Similar,3%,29%,63%,5%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE FACATATIVA,60,Similar,11,Similar,1%,16%,66%,17%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE FACATATIVA,71,Menor,10,Similar,0%,0%,33%,67%,N.D.,N.D.,N.D.,Matemáticas
